Place,Helmname,Fleet
1,Scotty Stallman,Men's Sailboard
2,Jim Crossley,Men's Sailboard
3,Kevin Greenslade,Men's Sailboard
4,Simon Pettifer,Men's Sailboard
5,Garry Connell,Men's Sailboard
6,Nigel Spriggs,Men's Sailboard
7,Will Trossell,Men's Sailboard
8,Bob Cunningham,Men's Sailboard
9,John Oliver,Men's Sailboard
10,Eddie Marsh,Men's Sailboard
11,Matthew York,Men's Sailboard
12,Michael George,Men's Sailboard
13,Chris Bates,Men's Sailboard
14,Richard Crosby,Men's Sailboard
15,Neven Juretic,Men's Sailboard
16,Thomas Harrison,Men's Sailboard
17,George Fulton,Men's Sailboard
18,Dave Strudwick,Men's Sailboard
19,Trevor Funnell,Men's Sailboard
20,Maciej Bukolt,Men's Sailboard
21,Simon Chippington,Men's Sailboard
22,Stuart Trunkfield,Men's Sailboard
23,Paul Arnold,Men's Sailboard
24,Garry Goodwin,Men's Sailboard
25,Andrew Twinn,Men's Sailboard
26,Scott Norman,Men's Sailboard
27,Trevor Whatford,Men's Sailboard
28,Andy Stuart-William,Men's Sailboard
29,Joe Trunkfield,Men's Sailboard
30,Iain Neary,Men's Sailboard
31,Mark Palmer,Men's Sailboard
32,Sullie Yelland,Men's Sailboard
33,Stewart Veitch,Men's Sailboard
34,Alastair Nichol,Men's Sailboard
