RaceNo,Name,Craft Type,Course,1st Run Speed (kts),2nd Run Speed (kts),2-Run Avg. Speed (kts),Points
5,Scotty Stallman,Sailboard,Shore 1,33.804,33.797,33.8,1
5,Simon Pettifer,Sailboard,Shore 1,33.398,33.351,33.374,2
5,James Battye,Sailboard,Shore 1,34.003,32.647,33.325,3
5,Jim Crossley,Sailboard,Shore 1,33.184,33.042,33.113,4
5,Garry Connell,Sailboard,Shore 1,31.542,31.344,31.443,5
5,Paul Sibley,Sailboard,Shore 1,31.18,30.854,31.017,6
5,Michael  George,Sailboard,Shore 1,30.448,29.97,30.209,7
5,Adrian Wallis,Sailboard,Shore 1,29.749,29.57,29.66,8
5,Richard Crosby,Sailboard,Shore 1,29.799,29.187,29.493,9
5,George Fulton,Sailboard,Shore 1,29.678,29.235,29.456,10
5,Neven Juretic,Sailboard,Shore 1,29.839,28.975,29.407,11
5,Will Trossell,Sailboard,Shore 1,29.663,28.795,29.229,12
5,Peter Crosby,Sailboard,Shore 1,28.226,27.942,28.084,13
5,Katharine Skinner,Sailboard,Shore 1,27.096,26.838,26.967,14
5,Olly Wood,Sailboard,Shore 1,27.249,26.04,26.644,15
5,Tom Joyce,Sailboard,Shore 1,25.741,25.085,25.413,16
5,Harry Keenan,Sailboard,Shore 1,24.005,24,24.002,17
5,mark salvage,Sailboard,Shore 1,23.959,23.298,23.628,18
5,Gavin Nicholson,Sailboard,Shore 1,21.876,21.771,21.824,19
5,Dave Strudwick,Sailboard,Shore 1,29.392,,14.696,20
