RaceNo,Name,Craft Type,Course,1st Run Speed (kts),2nd Run Speed (kts),2-Run Avg. Speed (kts),Points
6,Jim Crossley,Sailboard,Shore 2,35.670,35.441,35.556,1
6,Scotty Stallman,Sailboard,Shore 1,35.520,35.274,35.397,2
6,Simon Pettifer,Sailboard,Shore 1,35.396,34.387,34.892,3
6,James Battye,Sailboard,Shore 1,34.846,34.229,34.537,4
6,Garry Connell,Sailboard,Shore 2,33.011,31.401,32.206,5
6,Paul Sibley,Sailboard,Shore 2,31.869,31.653,31.761,6
6,Michael  George,Sailboard,Shore 2,31.784,30.875,31.330,7
6,Will Trossell,Sailboard,Shore 2,31.623,31.011,31.317,8
6,Jenna Gibson,Sailboard,Shore 1,30.900,30.858,30.879,9
6,Adrian Wallis,Sailboard,Shore 1,30.519,30.411,30.465,10
6,Richard Crosby,Sailboard,Shore 1,30.530,29.838,30.184,11
6,George Fulton,Sailboard,Shore 1,30.471,29.467,29.969,12
6,Peter Crosby,Sailboard,Shore 2,29.661,29.518,29.590,13
6,Dave Strudwick,Sailboard,Shore 2,29.442,29.231,29.336,14
6,Neven Juretic,Sailboard,Shore 1,29.211,28.199,28.705,15
6,Katharine Skinner,Sailboard,Shore 1,28.096,27.485,27.790,16
6,Nick Deakin,Sailboard,Shore 2,27.101,26.641,26.871,17
6,Trevor Whatford,Sailboard,Shore 2,27.291,25.857,26.574,18
6,Tom Squires,Sailboard,Shore 2,26.528,25.612,26.070,19
6,mark salvage,Sailboard,Shore 2,23.570,23.559,23.565,20
6,Gavin Nicholson,Sailboard,Shore 2,18.896,18.059,18.478,21
6,Olly Wood,Sailboard,Shore 1,23.818,,11.909,22
