Sail Number,Finish Time,Speed (kts),Course Length,First Name,Last Name,Craft
2,11:31:00,17.93,544,Dave,White,boat
2,12:09:00,17.41,544,Dave,White,boat
2,11:25:00,17.17,544,Dave,White,boat
2,11:20:00,16.64,544,Dave,White,boat
2,12:15:00,16.03,544,Dave,White,boat
3,10:42:00,22.40,544,Mike,Walklin,Sailboard
3,11:38:00,22.12,544,Mike,Walklin,Sailboard
3,10:53:00,20.87,544,Mike,Walklin,Sailboard
3,11:49:00,20.74,544,Mike,Walklin,Sailboard
3,12:42:00,18.55,544,Mike,Walklin,Sailboard
3,11:27:00,1.93,544,Mike,Walklin,Sailboard
4,11:13:00,27.07,544,ian,richards,Sailboard
4,12:19:00,25.34,544,ian,richards,Sailboard
4,11:34:00,25.02,544,ian,richards,Sailboard
4,12:29:00,24.64,544,ian,richards,Sailboard
4,12:59:00,22.90,544,ian,richards,Sailboard
4,10:51:00,22.76,544,ian,richards,Sailboard
4,12:36:00,22.75,544,ian,richards,Sailboard
4,12:03:00,22.22,544,ian,richards,Sailboard
4,12:46:00,21.15,544,ian,richards,Sailboard
4,11:44:00,8.21,544,ian,richards,Sailboard
4,11:23:00,3.63,544,ian,richards,Sailboard
10,11:26:00,29.76,544,Anders,Bringdal,Sailboard
10,11:23:00,29.62,544,Anders,Bringdal,Sailboard
10,10:52:00,28.89,544,Anders,Bringdal,Sailboard
10,10:59:00,28.81,544,Anders,Bringdal,Sailboard
10,11:06:00,28.52,544,Anders,Bringdal,Sailboard
10,11:30:00,28.07,544,Anders,Bringdal,Sailboard
10,11:02:00,28.05,544,Anders,Bringdal,Sailboard
10,11:40:00,27.88,544,Anders,Bringdal,Sailboard
10,10:40:00,27.77,544,Anders,Bringdal,Sailboard
10,10:44:00,27.60,544,Anders,Bringdal,Sailboard
10,11:33:00,27.54,544,Anders,Bringdal,Sailboard
10,11:55:00,26.39,544,Anders,Bringdal,Sailboard
10,11:49:00,25.81,544,Anders,Bringdal,Sailboard
10,12:02:00,25.75,544,Anders,Bringdal,Sailboard
10,12:41:00,23.88,544,Anders,Bringdal,Sailboard
10,12:36:00,23.35,544,Anders,Bringdal,Sailboard
10,12:12:00,23.26,544,Anders,Bringdal,Sailboard
10,10:47:00,4.18,544,Anders,Bringdal,Sailboard
12,11:34:00,24.99,544,Will,Oscroft,Oscroft
12,11:26:00,24.42,544,Will,Oscroft,Oscroft
12,11:12:00,24.22,544,Will,Oscroft,Oscroft
12,10:55:00,23.88,544,Will,Oscroft,Oscroft
12,12:18:00,23.73,544,Will,Oscroft,Oscroft
12,12:09:00,23.07,544,Will,Oscroft,Oscroft
12,11:53:00,22.83,544,Will,Oscroft,Oscroft
12,12:01:00,21.67,544,Will,Oscroft,Oscroft
14,11:30:00,27.12,544,Ian,Hill,Sailboard
14,10:51:00,26.76,544,Ian,Hill,Sailboard
14,11:42:00,26.42,544,Ian,Hill,Sailboard
14,11:55:00,25.83,544,Ian,Hill,Sailboard
14,11:08:00,25.63,544,Ian,Hill,Sailboard
14,10:58:00,25.35,544,Ian,Hill,Sailboard
14,11:03:00,24.88,544,Ian,Hill,Sailboard
14,11:19:00,23.95,544,Ian,Hill,Sailboard
14,10:44:00,22.66,544,Ian,Hill,Sailboard
14,12:26:00,20.90,544,Ian,Hill,Sailboard
14,11:48:00,2.79,544,Ian,Hill,Sailboard
14,12:03:00,2.03,544,Ian,Hill,Sailboard
15,10:57:00,25.23,544,Thorsten,Niehaus,Sailboard
15,10:53:00,24.76,544,Thorsten,Niehaus,Sailboard
15,11:03:00,3.04,544,Thorsten,Niehaus,Sailboard
15,11:09:00,1.39,544,Thorsten,Niehaus,Sailboard
15,11:31:00,0.52,544,Thorsten,Niehaus,Sailboard
15,11:35:00,0.46,544,Thorsten,Niehaus,Sailboard
15,11:40:00,0.41,544,Thorsten,Niehaus,Sailboard
15,11:48:00,0.35,544,Thorsten,Niehaus,Sailboard
15,11:54:00,0.31,544,Thorsten,Niehaus,Sailboard
