Sail Number,FirstName,LastName,CraftType,Status,Time,Speed
3,John,McIntyre,Sailboard,Result,12:36:03,19.02
3,John,McIntyre,Sailboard,Result,12:31:34,18.09
3,John,McIntyre,Sailboard,Result,12:28:08,17.09
3,John,McIntyre,Sailboard,Result,12:20:49,17.08
3,John,McIntyre,Sailboard,Result,12:45:31,16.36
10,Anders,Bringdal,Sailboard,Result,12:32:31,22.05
10,Anders,Bringdal,Sailboard,Result,12:28:02,21.32
10,Anders,Bringdal,Sailboard,Result,12:22:31,20.3
10,Anders,Bringdal,Sailboard,Result,12:45:06,19.96
10,Anders,Bringdal,Sailboard,Result,12:17:35,19.93
10,Anders,Bringdal,Sailboard,Result,12:10:10,17.24
10,Anders,Bringdal,Sailboard,Result,12:05:58,14.21
17,Fred,Ball,Boat,Result,12:02:37,6.6
17,Fred,Ball,Boat,Result,12:13:51,4.96
17,Fred,Ball,Boat,Result,12:25:35,4.82
23,barry,mason,Sailboard,Result,11:15:32,20.44
23,barry,mason,Sailboard,Result,11:23:29,19.02
23,barry,mason,Sailboard,Result,11:07:31,18.53
23,barry,mason,Sailboard,Result,12:07:35,18.5
23,barry,mason,Sailboard,Result,11:29:42,17.64
23,barry,mason,Sailboard,Result,11:38:33,16.35
23,barry,mason,Sailboard,Result,11:47:08,16.3
23,barry,mason,Sailboard,Result,11:02:29,14.78
30,alan,bennett,Sailboard,Result,12:34:57,18.03
30,alan,bennett,Sailboard,Result,12:27:49,11.07
30,alan,bennett,Sailboard,Result,12:58:14,4.74
44,Dave,Strudwick,Sailboard,Result,11:17:20,21.98
44,Dave,Strudwick,Sailboard,Result,11:11:51,21.76
44,Dave,Strudwick,Sailboard,Result,12:34:42,21.12
44,Dave,Strudwick,Sailboard,Result,11:22:27,21.07
44,Dave,Strudwick,Sailboard,Result,12:00:48,19.85
44,Dave,Strudwick,Sailboard,Result,12:29:44,18.42
44,Dave,Strudwick,Sailboard,Result,12:16:45,18.4
44,Dave,Strudwick,Sailboard,Result,11:33:48,18.24
44,Dave,Strudwick,Sailboard,Result,11:54:06,18.14
44,Dave,Strudwick,Sailboard,Result,12:23:04,17.45
44,Dave,Strudwick,Sailboard,Result,12:48:02,16.17
52,Patrick,Van Hoof,Sailboard,Result,12:35:19,21.43
52,Patrick,Van Hoof,Sailboard,Result,12:30:27,19.46
52,Patrick,Van Hoof,Sailboard,Result,12:22:22,18.36
52,Patrick,Van Hoof,Sailboard,Result,13:00:25,3.97
55,James,Lawton,Sailboard,Result,12:33:30,6.13
55,James,Lawton,Sailboard,Result,12:19:53,5.13
55,James,Lawton,Sailboard,Result,12:53:31,4.29
62,Dave,Crowhurst,Sailboard,Result,11:19:31,20.1
62,Dave,Crowhurst,Sailboard,Result,11:24:57,19.15
62,Dave,Crowhurst,Sailboard,Result,11:36:20,18.07
69,Gareth,Baker,Sailboard,Result,11:15:52,21.58
69,Gareth,Baker,Sailboard,Result,11:20:08,20.2
69,Gareth,Baker,Sailboard,Result,12:31:07,18.51
69,Gareth,Baker,Sailboard,Result,12:39:09,17.67
77,Anthony,Baker,Sailboard,Result,11:30:41,5.85
95,Stephen,Cronshaw,Sailboard,Result,12:03:35,18.25
95,Stephen,Cronshaw,Sailboard,Result,12:28:13,9.82
95,Stephen,Cronshaw,Sailboard,Result,12:58:31,4.31
116,Michael,Barton,Boat,Result,12:36:09,6.04
116,Michael,Barton,Boat,Result,13:00:08,4.47
138,Nigel,Leeming,Boat,Result,12:39:26,19.07
138,Nigel,Leeming,Boat,Result,12:27:40,6.7
140,Steve,Jones,Sailboard,Result,12:01:17,20.29
140,Steve,Jones,Sailboard,Result,12:37:44,19.76
140,Steve,Jones,Sailboard,Result,12:32:23,18.88
140,Steve,Jones,Sailboard,Result,12:08:44,18.09
140,Steve,Jones,Sailboard,Result,12:28:30,17.84
140,Steve,Jones,Sailboard,Result,11:08:05,17.77
140,Steve,Jones,Sailboard,Result,11:37:21,17.74
140,Steve,Jones,Sailboard,Result,11:55:02,17.02
140,Steve,Jones,Sailboard,Result,12:13:45,16.92
140,Steve,Jones,Sailboard,Result,12:21:45,16.51
157,nigel,spriggs,Sailboard,Result,12:38:34,20.85
157,nigel,spriggs,Sailboard,Result,12:29:57,20.48
157,nigel,spriggs,Sailboard,Result,12:20:06,19.66
161,Martina,Zuhlke,Sailboard,Result,12:31:10,7.09
161,Martina,Zuhlke,Sailboard,Result,12:21:04,6.09
161,Martina,Zuhlke,Sailboard,Result,12:53:18,5.05
175,Robin,Penna,Sailboard,Result,12:02:32,20.11
175,Robin,Penna,Sailboard,Result,12:06:59,19.9
175,Robin,Penna,Sailboard,Result,12:38:05,19.05
175,Robin,Penna,Sailboard,Result,12:12:03,17.29
175,Robin,Penna,Sailboard,Result,12:26:29,16.52
203,Dave,Standing,Sailboard,Result,12:34:59,20.2
203,Dave,Standing,Sailboard,Result,11:26:17,20.12
203,Dave,Standing,Sailboard,Result,11:21:50,19.61
203,Dave,Standing,Sailboard,Result,12:07:38,19.6
203,Dave,Standing,Sailboard,Result,12:30:08,18.52
203,Dave,Standing,Sailboard,Result,12:19:44,18.31
203,Dave,Standing,Sailboard,Result,12:12:09,18.3
203,Dave,Standing,Sailboard,Result,12:48:32,17.52
203,Dave,Standing,Sailboard,Result,11:39:20,16.88
210,Gavin,Nicholson,Sailboard,Result,11:18:23,20.16
210,Gavin,Nicholson,Sailboard,Result,11:23:59,20.08
210,Gavin,Nicholson,Sailboard,Result,12:02:09,19.04
210,Gavin,Nicholson,Sailboard,Result,12:08:06,18.61
210,Gavin,Nicholson,Sailboard,Result,11:40:45,18.12
210,Gavin,Nicholson,Sailboard,Result,11:34:06,18.08
210,Gavin,Nicholson,Sailboard,Result,12:20:38,17.53
210,Gavin,Nicholson,Sailboard,Result,12:14:13,17.53
210,Gavin,Nicholson,Sailboard,Result,11:53:52,17.42
210,Gavin,Nicholson,Sailboard,Result,11:47:14,17.18
210,Gavin,Nicholson,Sailboard,Result,12:40:55,17.14
