Place,Helmname,Fleet
1,Antony Baker,Men's Sailboard
2,Simon Cofield,Men's Sailboard
3,Kevin Greenslade,Men's Sailboard
4,Nigel Spriggs,Men's Sailboard
5,Martyn Ogier,Men's Sailboard
6,Adrian Wallis,Men's Sailboard
7,Paul Morris,Men's Sailboard
8,Dave White,Men's Sailboard
9,Michael George,Men's Sailboard
10,Jamie Walker,Men's Sailboard
11,Matthew York,Men's Sailboard
12,Chris Jackson,Men's Sailboard
13,Gavin Nicholson,Men's Sailboard
14,Iain Beaton,Men's Sailboard
15,Nic Dodd,Men's Sailboard
16,Trevor Whatford,Men's Sailboard
17,Stephen Chatten,Men's Sailboard
18,Sam Gooch,Men's Sailboard
19,Mark Hatton,Men's Sailboard
