Sail Number,Finish Time,Speed (kts),Course Angle,Course Length,First Name,Last Name,Craft
51,15:22:00,20.31,100,544,Clive,Ellis,Sailboard
51,15:02:00,20.01,100,544,Clive,Ellis,Sailboard
51,14:42:00,17.68,100,544,Clive,Ellis,Sailboard
51,15:37:00,17.60,100,544,Clive,Ellis,Sailboard
51,14:47:00,2.76,100,544,Clive,Ellis,Sailboard
69,14:41:00,22.87,100,544,Gareth,Baker,Sailboard
69,14:52:00,22.53,100,544,Gareth,Baker,Sailboard
69,15:06:00,22.03,100,544,Gareth,Baker,Sailboard
69,14:36:00,21.94,100,544,Gareth,Baker,Sailboard
69,15:03:00,21.92,100,544,Gareth,Baker,Sailboard
69,14:57:00,21.28,100,544,Gareth,Baker,Sailboard
69,15:57:00,20.64,100,544,Gareth,Baker,Sailboard
69,14:47:00,19.92,100,544,Gareth,Baker,Sailboard
69,15:41:00,19.88,100,544,Gareth,Baker,Sailboard
69,15:46:00,18.93,100,544,Gareth,Baker,Sailboard
69,15:49:00,4.81,100,544,Gareth,Baker,Sailboard
69,16:01:00,3.26,100,544,Gareth,Baker,Sailboard
69,15:52:00,2.54,100,544,Gareth,Baker,Sailboard
84,15:25:00,22.06,100,544,David,Hinsley,Sailboard
84,15:14:00,21.89,100,544,David,Hinsley,Sailboard
84,14:51:00,21.71,100,544,David,Hinsley,Sailboard
84,14:54:00,21.70,100,544,David,Hinsley,Sailboard
84,15:03:00,21.31,100,544,David,Hinsley,Sailboard
84,15:11:00,21.19,100,544,David,Hinsley,Sailboard
84,15:07:00,21.15,100,544,David,Hinsley,Sailboard
84,14:58:00,20.44,100,544,David,Hinsley,Sailboard
84,15:57:00,20.43,100,544,David,Hinsley,Sailboard
84,14:34:00,20.32,100,544,David,Hinsley,Sailboard
84,14:39:00,20.04,100,544,David,Hinsley,Sailboard
84,14:47:00,19.82,100,544,David,Hinsley,Sailboard
84,14:43:00,17.64,100,544,David,Hinsley,Sailboard
84,16:01:00,17.16,100,544,David,Hinsley,Sailboard
84,15:17:00,4.61,100,544,David,Hinsley,Sailboard
84,15:49:00,1.95,100,544,David,Hinsley,Sailboard
84,15:52:00,1.43,100,544,David,Hinsley,Sailboard
93,15:15:00,22.52,100,544,Richard,Hobson,Sailboard
93,15:08:00,22.39,100,544,Richard,Hobson,Sailboard
93,15:03:00,21.95,100,544,Richard,Hobson,Sailboard
93,14:50:00,21.49,100,544,Richard,Hobson,Sailboard
93,14:38:00,19.99,100,544,Richard,Hobson,Sailboard
93,14:55:00,19.92,100,544,Richard,Hobson,Sailboard
93,14:45:00,18.53,100,544,Richard,Hobson,Sailboard
98,16:07:00,4.72,100,544,Neils,Haarbosch,Sailboard
98,14:50:00,4.31,100,544,Neils,Haarbosch,Sailboard
98,15:25:00,1.34,100,544,Neils,Haarbosch,Sailboard
98,15:36:00,0.73,100,544,Neils,Haarbosch,Sailboard
99,15:02:00,20.61,100,544,Gordon,Roach,Sailboard
99,15:56:00,0.51,100,544,Gordon,Roach,Sailboard
101,15:19:00,12.28,100,544,Torix,Bennett,Boat
101,15:06:00,8.75,100,544,Torix,Bennett,Boat
101,14:43:00,7.15,100,544,Torix,Bennett,Boat
102,15:32:00,21.56,100,544,Norman,Petty,Sailboard
102,15:22:00,19.52,100,544,Norman,Petty,Sailboard
