Name,Sail Number,Craft Type,Speed (kts)
David Garrel,22,Sailboard,28.59
Dan Ellis,52,Sailboard,28.27
Charlles Thompson,138,Boat,27.93
John Sanderson,180,Sailboard,27.77
Bob Cunningham,818,Sailboard,26.41
Paul Morris,111,Sailboard,25.79
Keith Atkinson,56,Sailboard,25.61
Dave White,63,Sailboard,25.44
Mathew Burridge,666,Sailboard,25.38
Robin Penna,75,Sailboard,25.30
Nick Scott,55,Sailboard,25.13
Mark Newman,92,Sailboard,24.95
Steve Mather,134,Sailboard,24.73
Tristan Drane,7,Sailboard,24.41
Ian Hill,14,Sailboard,24.04
Ian Ruby,313,Sailboard,24.04
Ludo Brockway,616,Kite Board,23.95
Richard Stark,110,Sailboard,23.86
Neil Hardwick,413,Sailboard,23.83
Gareth Baker,69,Sailboard,23.80
,19,Sailboard,23.77
Pete Davis,73,Sailboard,23.76
Paul Simmons,131,Sailboard,23.76
Stephen Corps,15,Sailboard,23.61
Dion Hunt,71,Sailboard,23.55
James Paine,17,Sailboard,23.40
Pete Martin,181,Sailboard,23.29
Tony Attfield,46,Sailboard,23.12
Mike Pearce,9,Sailboard,22.80
Richard Holgate,53,Sailboard,22.62
Tony Morris,604,Sailboard,22.57
Amy Carter,85,Sailboard,22.51
Zara Davis,731,Sailboard,22.29
Mike Coombes,332,Sailboard,22.16
David Temple,77,Sailboard,22.10
Rob Stack,777,Sailboard,21.95
Tony Ireland,480,Sailboard,21.91
Thor Gustafsson,211,Sailboard,21.80
David Williams,612,Kite Board,21.74
Eddie Murrell,670,Sailboard,21.73
Simon Olley,953,Sailboard,21.66
Sean Carroll,171,Sailboard,21.65
Allan Cross,68,Sailboard,21.60
Barry Mason,23,Sailboard,21.51
Trevor Watford,27,Sailboard,21.50
Mike Price,97,Sailboard,21.31
Alistair Williams,330,Sailboard,21.20
David Ellerbeck,122,Sailboard,20.78
David Goodrich,197,Sailboard,20.69
John Morrish,80,Sailboard,20.63
Steve Hunt,177,Sailboard,20.54
Nigel Spriggs,118,Sailboard,20.39
Michael Pacey,622,Kite Board,20.38
Duncan Adam,863,Sailboard,20.35
Anton Poll,72,Sailboard,20.33
Brian Leake,26,Sailboard,19.94
Martin Allman,206,Sailboard,19.79
Non Entrant,420,Tornado Cat,19.43
Simon Moore,751,Sailboard,19.41
Ian Kraft,154,Sailboard,19.27
Ian Grounds,276,Sailboard,19.03
Clive Ellis,51,Sailboard,18.93
SeaCart 30 Team,123,Boat,18.90
Andrew Penhaligon,119,Sailboard,18.69
Danny Norris + Will Oscroft,5,Tandem Sailboard,18.34
Gordon Roach,196,Sailboard,18.15
Claire Newman,91,Sailboard,16.39
Stephen Walker,84,Boat,16.08
David Tuttlebee,888,Sailboard,13.71
Bob Date,458,Boat,12.99
Emile Burnaby Lautier,108,Boat,12.86
Torix Bennett,101,Boat,12.62
John Peperell,504,Boat,11.80
Alan Blundell,18,Boat,10.71
Les Paley,8,Sailboard,9.51
Brian Warner,349,Sailboard,6.10
Tim Lawes,561,Sailboard,4.95
