Sail Number,Name,Time,Speed (kts)
11,Bjorn Dunkerbeck,11:59:27,25.3
11,Bjorn Dunkerbeck,11:49:56,24.68
11,Bjorn Dunkerbeck,11:55:06,21.36
31,Paul Morris,11:42:04,25.01
31,Paul Morris,11:35:50,24.58
31,Paul Morris,11:28:59,23.89
31,Paul Morris,12:08:25,21.77
31,Paul Morris,11:55:32,21.58
31,Paul Morris,12:02:26,17.47
32,Richard Jones,11:49:05,25.3
32,Richard Jones,11:42:48,24.34
32,Richard Jones,12:38:09,24.16
32,Richard Jones,11:38:22,24.02
32,Richard Jones,11:58:52,23.76
32,Richard Jones,11:33:55,23.27
32,Richard Jones,11:53:36,22.81
32,Richard Jones,12:24:33,21.74
40,Simon Hinkley,12:08:04,22.57
44,David Strudwick,12:16:31,19.54
44,David Strudwick,12:01:32,12.88
48,Marcus Partridge,11:44:02,17.8
48,Marcus Partridge,12:29:40,17.47
48,Marcus Partridge,11:34:50,17.35
48,Marcus Partridge,12:11:12,15.97
48,Marcus Partridge,11:51:49,15.57
48,Marcus Partridge,12:21:50,15.55
48,Marcus Partridge,11:27:56,12.26
48,Marcus Partridge,12:02:23,10.99
103,Ricky Wooding,11:47:17,23.69
103,Ricky Wooding,11:41:17,22.48
103,Ricky Wooding,11:33:23,21.61
103,Ricky Wooding,11:52:13,21.23
138,Charles Thompson,11:58:03,18.1
138,Charles Thompson,12:15:11,17.02
138,Charles Thompson,12:28:08,4.99
171,Sean Carroll,11:44:32,22.33
171,Sean Carroll,11:37:23,22.07
171,Sean Carroll,12:09:30,20.94
171,Sean Carroll,12:22:36,20.69
171,Sean Carroll,11:54:34,14.76
277,Kévin Gobin,11:40:29,12.92
277,Kévin Gobin,11:38:19,12.67
277,Kévin Gobin,11:27:31,9.95
277,Kévin Gobin,11:51:31,7.9
321,Ian Jones,11:59:00,24.61
321,Ian Jones,11:52:45,23.85
321,Ian Jones,12:11:39,23.73
321,Ian Jones,12:04:48,22.93
321,Ian Jones,12:34:22,22.93
321,Ian Jones,12:28:55,12.77
323,Dan Simpson,11:43:01,25.49
323,Dan Simpson,11:36:27,25.34
323,Dan Simpson,12:25:45,24.97
323,Dan Simpson,11:58:39,24.09
323,Dan Simpson,12:39:02,23.85
323,Dan Simpson,12:04:26,22.72
332,Mike Coombes,11:35:16,23.03
349,Brian Warner,12:22:20,15.77
451,Xavier Ferlet,12:26:14,25.57
451,Xavier Ferlet,11:28:31,25.15
451,Xavier Ferlet,12:39:23,25.08
451,Xavier Ferlet,11:33:45,24.86
451,Xavier Ferlet,12:32:28,23.86
598,Michael John Roberts,12:39:06,8.74
621,Sam Latham,12:24:30,21.49
621,Sam Latham,11:45:21,21.44
621,Sam Latham,11:39:36,20.64
621,Sam Latham,11:56:01,20.57
621,Sam Latham,12:37:22,20.44
621,Sam Latham,11:51:53,20.06
621,Sam Latham,12:04:20,20.04
621,Sam Latham,11:32:04,18.75
668,William Rowles,11:32:38,17.22
941,Alex Smith,11:46:06,21.63
941,Alex Smith,11:42:20,21.41
941,Alex Smith,12:00:12,20.47
941,Alex Smith,12:06:29,20.18
941,Alex Smith,12:24:13,19.67
941,Alex Smith,11:54:46,19.02
941,Alex Smith,12:15:21,18.74
941,Alex Smith,12:35:33,18.29
945,Sam Gooch,12:33:53,21.55
945,Sam Gooch,12:39:54,17.58
948,Liam Round,11:27:41,22.17
948,Liam Round,12:24:03,21.41
948,Liam Round,11:36:07,21.17
948,Liam Round,12:41:39,19.95
948,Liam Round,12:14:55,19.58
