Sail Number,Title,First Name,Last Name,Craft Type,Master or Junior,Novice,Professional,Start Time,Finish Time,Elapsed Time,Speed (kts),Course Length,Course Angle
609,Mr,stacey,vass,Kite Board,Neither,No,Yes,14:05:44,14:06:32,47.948,21.96,541,69
313,Mr,john,benamati,Sailboard,Neither,No,Yes,11:16:53,11:17:42,48.3357,21.78,541,69
181,Mr,Pete,Martin,Sailboard,,No,Yes,14:27:40,14:28:29,48.6905,21.62,541,69
181,Mr,Pete,Martin,Sailboard,Neither,No,No,11:21:37,11:22:25,48.954,21.51,541,69
747,Mr,Simon,White,Sailboard,Master,Yes,No,11:20:03,11:20:52,49.0924,21.44,541,69
21,Mr,Dan,Simpson,Sailboard,Neither,No,Yes,16:26:31,16:27:19,47.6694,21.35,523,85
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,16:09:14,16:10:03,47.7659,21.31,523,85
68,Mr,Allan,Cross,Sailboard,Neither,No,Yes,14:14:37,14:15:26,49.5712,21.24,541,69
46,Mr,denis,royet,Sailboard,Neither,No,No,11:17:04,11:17:54,50.1652,20.99,541,69
313,Mr,john,benamati,Sailboard,Neither,No,Yes,11:24:02,11:24:52,50.5808,20.81,541,69
181,Mr,Pete,Martin,Sailboard,Neither,No,No,11:31:08,11:31:59,50.7301,20.75,541,69
55,Mr,Nick,Scott,Sailboard,Neither,No,Yes,11:18:04,11:18:54,50.7347,20.75,541,69
747,Mr,Simon,White,Sailboard,Master,Yes,No,15:49:26,15:50:16,49.3046,20.64,523,85
68,Mr,Allan,Cross,Sailboard,Neither,No,Yes,11:28:16,11:29:07,51.0944,20.6,541,69
131,Mr,Paul,Simmons,Sailboard,Neither,No,Yes,11:31:21,11:32:12,51.2493,20.54,541,69
21,Mr,Dan,Simpson,Sailboard,Neither,No,Yes,11:15:48,11:16:40,51.6075,20.4,541,69
55,Mr,Nick,Scott,Sailboard,Neither,No,Yes,14:05:18,14:06:10,51.8195,20.32,541,69
863,Mr,Duncan,Adam,Sailboard,Neither,No,No,11:17:13,11:18:06,52.6298,20,541,69
609,Mr,stacey,vass,Kite Board,Neither,No,Yes,14:20:34,14:21:27,52.9302,19.89,541,69
313,Mr,john,benamati,Sailboard,Neither,No,Yes,16:27:46,16:28:37,51.3567,19.82,523,85
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,14:04:56,14:05:49,53.1874,19.79,541,69
863,Mr,Duncan,Adam,Sailboard,Neither,No,No,14:02:44,14:03:37,53.1876,19.79,541,69
68,Mr,Allan,Cross,Sailboard,Neither,No,Yes,14:06:13,14:07:06,53.2352,19.78,541,69
55,Mr,Nick,Scott,Sailboard,Neither,No,Yes,15:51:12,15:52:04,51.6561,19.7,523,85
747,Mr,Simon,White,Sailboard,Master,Yes,No,15:44:22,15:45:14,51.6728,19.7,523,85
68,Mr,Allan,Cross,Sailboard,Neither,No,Yes,11:38:12,11:39:06,53.7034,19.6,541,69
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,16:22:06,16:22:58,52.0129,19.57,523,85
190,Mr,James,Grogono,Boat,Master,No,No,11:26:05,11:26:59,53.933,19.52,541,69
747,Mr,Simon,White,Sailboard,Master,Yes,No,14:26:00,14:26:54,54.0738,19.47,541,69
604,Mr,TONY,MORRIS,Sailboard,Neither,No,No,16:27:16,16:28:08,52.4446,19.41,523,85
480,Mr,Tony,Ireland,Sailboard,Neither,No,Yes,15:49:40,15:50:33,52.7441,19.3,523,85
313,Mr,john,benamati,Sailboard,Neither,No,Yes,16:22:13,16:23:06,52.8527,19.26,523,85
131,Mr,Paul,Simmons,Sailboard,Neither,No,Yes,14:12:34,14:13:29,54.7064,19.24,541,69
