Place,HelmName,Fleet,Status
1,Kevin Greenslade,Men's Sailboard,Pro Fleet
2,James Battye,Men's Sailboard,Gold Fleet
3,Scotty Stallman,Men's Sailboard,Gold Fleet
4,Simon Pettifer,Men's Sailboard,Pro Fleet
5,Leigh Kingaby,Men's Sailboard,Pro Fleet
6,Simon Cofield,Men's Sailboard,Pro Fleet
7,Kacper Wozniak,Men's Sailboard,Gold Fleet
8,Adrian Wallis,Men's Sailboard,Gold Fleet
9,Paul Sibley,Men's Sailboard,Gold Fleet
10,Sam Anstey,Men's Sailboard,Youth Fleet
11,Gavin Furmenger,Men's Sailboard,Gold Fleet
12,Ewan Paterson,Men's Sailboard,Amateur
13,Tyler Baker,Men's Sailboard,Youth Fleet
14,Grant Cottrell,Men's Sailboard,Gold Fleet
15,Henry Bloodworth,Men's Sailboard,Pro Fleet
16,George Fulton,Men's Sailboard,Amateur
17,Harding Dexter,Men's Sailboard,Youth Fleet
18,Chris Cleland,Men's Sailboard,Amateur
19,Mark Salvage,Men's Sailboard,Amateur
