Place,Helmname,Fleet
1,Kevin Greenslade,Men's Sailboard
2,James Battye,Men's Sailboard
3,Scotty Stallman,Men's Sailboard
4,Simon Pettifer,Men's Sailboard
5,Leigh Kingaby,Men's Sailboard
6,Simon Cofield,Men's Sailboard
7,Kacper Wozniak,Men's Sailboard
8,Adrian Wallis,Men's Sailboard
9,Paul Sibley,Men's Sailboard
10,Sam Anstey,Men's Sailboard
11,Gavin Furmenger,Men's Sailboard
12,Ewan Paterson,Men's Sailboard
13,Tyler Baker,Men's Sailboard
14,Grant Cottrell,Men's Sailboard
15,Henry Bloodworth,Men's Sailboard
16,George Fulton,Men's Sailboard
17,Harding Dexter,Men's Sailboard
18,Chris Cleland,Men's Sailboard
19,Mark Salvage,Men's Sailboard
