Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,31.96,Sailboard,Stephen Corps,14,15
2,30.75,Sailboard,Pete Martin,10,181
3,30.59,Sailboard,Stacey Vass,12,47
4,30.23,Sailboard,Steve Meech,11,471
5,30.18,Sailboard,James Paine,16,17
6,29.24,Sailboard,Richard Ashenden,5,19
7,28.16,Sailboard,Mike Pearce,18,9
8,27.52,Sailboard,Chris Shaw,19,505
9,27.52,Sailboard,Rob Gough,10,66
10,27.44,Sailboard,Tony Morris,9,11
11,27.44,Sailboard,Angus Hitchin,15,7
12,27.15,Sailboard,Trevor Whatford,15,27
13,26.82,Sailboard,Matt Spooner,8,150
14,26.81,Sailboard,Sean Carroll,14,171
15,25.91,Sailboard,Lee Birch,4,48
16,25.26,Sailboard,Martin Gold,5,73
17,24.98,Sailboard,Pierre Saville,8,38
18,24.8,Sailboard,John May,3,37
19,24.52,Sailboard,Dave Goodrich,7,197
20,24.43,Sailboard,Roger Crabb,6,88
21,24.3,Sailboard,Richard Trubger,13,124
22,22.49,Sailboard,Les Paley,2,8
23,20.88,Sailboard,James Crocker,1,64
24,18.77,Boat,Dick Ogilvie,4,25
25,13.33,Boat,Alex Montgomery,13,1
26,12.09,Boat,John Peperell,4,501
