Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,29.05,Sailboard,Pete Martin,2,181
2,27.92,Sailboard,James Paine,10,17
3,27.14,Sailboard,Tony Morris,6,11
4,25.61,Sailboard,Richard Trubger,10,124
5,24.86,Sailboard,Trevor Whatford,3,27
6,24.68,Sailboard,Sean Carroll,4,171
7,23.61,Sailboard,Chris Shaw,1,505
8,21.94,Sailboard,Emma,10,23
9,21.83,Sailboard,Roger Crabb,9,88
10,20.18,TBC,-,4,173
11,16.63,Boat,Alex Montgomery,29,1
12,16.05,Sailboard,Kim Newman,1,68
13,14.18,Boat,John Peperell,26,501
14,12.8,Boat,Hywel Price,9,30
