Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Jim Crossley,Men's Sailboard,Pro Fleet,37.20,37.06,37.13
2,James Battye,Men's Sailboard,Pro Fleet,36.80,36.62,36.70
3,Scotty Stallman,Men's Sailboard,Pro Fleet,36.65,36.63,36.64
4,Simon Pettifer,Men's Sailboard,Pro Fleet,36.41,36.37,36.39
5,Paul Sibley,Men's Sailboard,Gold Fleet,35.58,35.23,35.40
6,Garry Connell,Men's Sailboard,Gold Fleet,34.85,34.64,34.75
7,Will Trossell,Men's Sailboard,Gold Fleet,34.51,34.50,34.51
8,Shaun Cook,Men's Sailboard,Pro Fleet,33.73,33.19,33.46
9,Neven Juretic,Men's Sailboard,Amateur,33.39,32.87,33.13
10,Michael George,Men's Sailboard,Gold Fleet,33.20,32.98,33.09
11,Dave Strudwick,Men's Sailboard,Gold Fleet,33.64,30.89,32.26
12,Olly Wood,Men's Sailboard,Amateur,33.02,31.40,32.21
13,Adrian Wallis,Men's Sailboard,Gold Fleet,31.69,31.46,31.58
14,Simon Chippington,Men's Sailboard,Gold Fleet,31.82,30.07,30.95
15,Trevor Whatford,Men's Sailboard,Gold Fleet,27.64,27.06,27.35
16,Richard Crosby,Men's Sailboard,Amateur,23.16,,11.58
