Place,Helmname,Fleet
1,Jim Crossley,Men's Sailboard
2,James Battye,Men's Sailboard
3,Scotty Stallman,Men's Sailboard
4,Simon Pettifer,Men's Sailboard
5,Garry Connell,Men's Sailboard
6,Michael George,Men's Sailboard
7,Paul Sibley,Men's Sailboard
8,Dave Strudwick,Men's Sailboard
9,Neven Juretic,Men's Sailboard
10,Shaun Cook,Men's Sailboard
11,Will Trossell,Men's Sailboard
12,George Fulton,Men's Sailboard
13,Olly Wood,Men's Sailboard
14,Adrian Wallis,Men's Sailboard
15,Richard Crosby,Men's Sailboard
16,Simon Chippington,Men's Sailboard
17,Gerry Northwood,Men's Sailboard
