Place,Helmname,Fleet
1,Simon Cofield,Men's Sailboard
2,James Dinsmore,Men's Sailboard
3,Kevin Greenslade,Men's Sailboard
4,Simon Pettifer,Men's Sailboard
5,Jim Crossley,Men's Sailboard
6,Nick Beaney,Men's Sailboard
7,Matthew York,Men's Sailboard
8,Dave Strudwick,Men's Sailboard
9,Jamie Walker,Men's Sailboard
10,Gavin Furmenger,Men's Sailboard
11,Adrian Wallis,Men's Sailboard
12,Roddy Cooper,Men's Sailboard
13,Matthew Spooner,Men's Sailboard
14,Ben Marshall,Men's Sailboard
15,Mark Matthews,Men's Sailboard
16,Scotty Stallman,Men's Sailboard
17,Tommy Walters,Men's Sailboard
18,Ben McCann,Men's Sailboard
19,Nic Dodd,Men's Sailboard
