Sail Number,Name,Speed (kts),Runs
138,John Lindley,26.613,13
47,Stacey Vass,25.722,11
9,Mike Pearce,24.750,20
11,Tony Morris,24.612,12
711,Steve Meech,24.243,21
17,James Paine,23.439,5
27,Trevor Watford,22.864,16
171,Sean Carroll,21.956,8
905,Steve Cole,21.875,5
584,Jean Bernard Cunin,21.093,19
111,Nick Povey,20.993,7
5,Kevin Hall,20.968,7
333,Phil Hayward,20.602,9
101,Torix Bennett,20.270,18
15,-,17.767,2
30,Keith Dunstan,14.784,16
458,Bob Date,14.158,19
18,Alan Blundell,12.230,7
10,Fred Ball,9.428,20
98,Neils Haarbosch,6.752,2
99,Philip Middleton,1.976,1
