Place,HelmName,Fleet,Status
1,Scotty Stallman,Men's Sailboard,Pro Fleet
2,James Battye,Men's Sailboard,Pro Fleet
3,Simon Pettifer,Men's Sailboard,Pro Fleet
4,Jim Crossley,Men's Sailboard,Pro Fleet
5,Michael George,Men's Sailboard,Gold Fleet
6,Will Trossell,Men's Sailboard,Gold Fleet
7,Paul Sibley,Men's Sailboard,Gold Fleet
8,Garry Connell,Men's Sailboard,Gold Fleet
9,Dave Strudwick,Men's Sailboard,Gold Fleet
10,Richard Crosby,Men's Sailboard,Amateur
11,Neven Juretic,Men's Sailboard,Amateur
12,Adrian Wallis,Men's Sailboard,Gold Fleet
13,George Fulton,Men's Sailboard,Gold Fleet
14,Nick Deakin,Men's Sailboard,Amateur
15,Trevor Whatford,Men's Sailboard,Gold Fleet
16,Tom Joyce,Men's Sailboard,Amateur
17,Mark Salvage,Men's Sailboard,Amateur
18,Harry Keenan,Men's Sailboard,Gold Fleet
19,Gavin Nicholson,Men's Sailboard,Gold Fleet
