Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,James Battye,Men's Sailboard,Pro Fleet,34.31,33.99,34.15
2,Scotty Stallman,Men's Sailboard,Pro Fleet,33.05,32.73,32.89
3,Jim Crossley,Men's Sailboard,Pro Fleet,32.93,32.58,32.76
4,Simon Pettifer,Men's Sailboard,Pro Fleet,32.70,32.59,32.64
5,Will Trossell,Men's Sailboard,Gold Fleet,32.29,32.19,32.24
6,Michael George,Men's Sailboard,Gold Fleet,32.28,31.21,31.74
7,Garry Connell,Men's Sailboard,Gold Fleet,32.24,31.21,31.72
8,Paul Sibley,Men's Sailboard,Gold Fleet,31.62,31.34,31.48
9,Adrian Wallis,Men's Sailboard,Gold Fleet,30.68,30.07,30.38
10,Neven Juretic,Men's Sailboard,Amateur,28.03,27.12,27.58
11,Richard Crosby,Men's Sailboard,Amateur,27.19,,13.59
