Place,HelmName,Fleet,Status
1,Kevin Greenslade,Men's Sailboard,Gold Fleet
2,Martyn Ogier,Men's Sailboard,Pro Fleet
3,Antony Baker,Men's Sailboard,Pro Fleet
4,Dave White,Men's Sailboard,Pro Fleet
5,Guy Cribb,Men's Sailboard,Pro Fleet
6,Jim Crossley,Men's Sailboard,Gold Fleet
7,Bob Cunningham,Men's Sailboard,Pro Fleet
8,Simon Pettifer,Men's Sailboard,Gold Fleet
9,Ian Richards,Men's Sailboard,Gold Fleet
10,Michael George,Men's Sailboard,Gold Fleet
11,Nigel Spriggs,Men's Sailboard,Gold Fleet
12,Nick Beaney,Men's Sailboard,Pro Fleet
13,Paul Morris,Men's Sailboard,Gold Fleet
14,Matthew York,Men's Sailboard,Gold Fleet
15,Daniel Skudder,Men's Sailboard,Gold Fleet
16,Tony Attfield,Men's Sailboard,Amateur
17,Allan Cross,Men's Sailboard,Gold Fleet
18,Richard Hobson,Men's Sailboard,Gold Fleet
19,Jamie Walker,Men's Sailboard,Gold Fleet
20,Adrian Wallis,Men's Sailboard,Gold Fleet
21,John McIntyre,Men's Sailboard,Amateur
22,Dave Strudwick,Men's Sailboard,Gold Fleet
23,Gavin Nicholson,Men's Sailboard,Gold Fleet
24,Trevor Funnell,Men's Sailboard,Amateur
25,Eddie Murrell,Men's Sailboard,Gold Fleet
26,Nic Dodd,Men's Sailboard,Gold Fleet
27,Stephen Chatten,Men's Sailboard,Gold Fleet
28,Gordon Roach,Men's Sailboard,Amateur
29,Charlie Wilson,Men's Sailboard,Amateur
30,Mark Collins,Men's Sailboard,Amateur
31,Neil Greentree,Men's Sailboard,Amateur
32,Martin Allman,Men's Sailboard,Amateur
33,Mark Hatton,Men's Sailboard,Amateur
