Place,Helmname,Fleet
1,Kevin Greenslade,Men's Sailboard
2,Martyn Ogier,Men's Sailboard
3,Antony Baker,Men's Sailboard
4,Dave White,Men's Sailboard
5,Guy Cribb,Men's Sailboard
6,Jim Crossley,Men's Sailboard
7,Bob Cunningham,Men's Sailboard
8,Simon Pettifer,Men's Sailboard
9,Ian Richards,Men's Sailboard
10,Michael George,Men's Sailboard
11,Nigel Spriggs,Men's Sailboard
12,Nick Beaney,Men's Sailboard
13,Paul Morris,Men's Sailboard
14,Matthew York,Men's Sailboard
15,Daniel Skudder,Men's Sailboard
16,Tony Attfield,Men's Sailboard
17,Allan Cross,Men's Sailboard
18,Richard Hobson,Men's Sailboard
19,Jamie Walker,Men's Sailboard
20,Adrian Wallis,Men's Sailboard
21,John McIntyre,Men's Sailboard
22,Dave Strudwick,Men's Sailboard
23,Gavin Nicholson,Men's Sailboard
24,Trevor Funnell,Men's Sailboard
25,Eddie Murrell,Men's Sailboard
26,Nic Dodd,Men's Sailboard
27,Stephen Chatten,Men's Sailboard
28,Gordon Roach,Men's Sailboard
29,Charlie Wilson,Men's Sailboard
30,Mark Collins,Men's Sailboard
31,Neil Greentree,Men's Sailboard
32,Martin Allman,Men's Sailboard
33,Mark Hatton,Men's Sailboard
