Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,34.44,Sailboard,Bjorn Dunkerbeck,21,114
2,32.29,Sailboard,Daniel Ellis,34,52
3,31.80,Sailboard,David MacInnes,20,67
4,30.96,Sailboard,Pete Martin,5,181
5,30.81,Sailboard,Bjorn Haacke,27,4
6,30.76,Sailboard,Tony Morris,12,11
7,30.55,Sailboard,Simon Hinckley,14,40
8,30.36,Sailboard,Greg Dunnett,14,631
9,30.36,Sailboard,John Sanderson,17,180
10,29.97,Sailboard,Keith Atkinson,14,56
11,29.92,Sailboard,Eugen Dunkerbeck,4,112
12,29.92,Sailboard,Stephen Corps,3,15
13,29.83,Sailboard,Alan Cross,10,68
14,29.83,Sailboard,Paul Simmons,24,110
15,29.73,Sailboard,Robin Penna,21,75
16,29.13,Kite Board,Jeremy Waitt,16,604
17,29.04,Sailboard,Duncan Adam,8,63
18,28.82,Sailboard,Alex Montgomery,16,1
19,28.78,Sailboard,Richard Holgate,10,53
20,28.78,Sailboard,Rob Stack,9,777
21,28.74,Sailboard,Greg Lewis,16,594
22,28.60,Sailboard,Peter Davis,14,73
23,28.17,Sailboard,Simon Langley,9,43
24,28.00,Sailboard,Dion Hunt,7,71
25,27.92,Sailboard,Lucy Horwood,5,95
26,27.88,Sailboard,Trevor Whatford,10,27
27,27.63,Sailboard,Claude van Martyn,6,55
28,27.52,Sailboard,Ian Hill,9,14
29,27.51,Sailboard,Zara Davis,7,173
30,27.00,Sailboard,Sean Carroll,13,171
31,26.88,Sailboard,Alistair Williams,6,330
32,26.81,Sailboard,Neil Ellison,7,295
33,26.62,Sailboard,Mike Pearce,11,9
34,26.39,Sailboard,Nigel Spriggs,6,118
35,26.35,Sailboard,Theo Theinert,3,58
36,25.92,Sailboard,Amy Carter,14,85
37,25.70,Kite Board,Steve Davison,3,626
38,25.32,Boat,Malcolm Barnsley,3,70
39,25.22,Sailboard,Simon Hiscocks,7,49
40,24.12,Sailboard,Les Paley,3,8
41,23.67,Sailboard,Peter Watkinson,3,808
42,23.05,Sailboard,Brian Leake,1,26
43,22.83,Sailboard,Andrew Blain,4,6
44,20.53,Sailboard,Paul Foster,1,239
45,15.80,Boat,Torix Bennett,6,101
46,13.70,Boat,John Peperell,2,510
47,13.53,Boat,Neils Haarbosch,1,907
