Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,29.72,Sailboard,Pete Martin,14,181
2,28.55,Sailboard,Matt Spooner,12,150
3,28.5,Sailboard,Richard Jones,10,213
4,27.95,Sailboard,Stephen Corps,30,15
5,26.34,Sailboard,James Paine,15,17
6,26.23,Sailboard,Tony Morris,17,11
7,24.97,Sailboard,Mike Pearce,27,9
8,24.74,Sailboard,Richard Trubger,17,124
9,23.89,Sailboard,Matthew Brown,10,3
10,23.89,Sailboard,Sean Carroll,9,171
11,23.8,Sailboard,Trevor Whatford,19,27
12,23.68,Sailboard,Pierre Saville,8,38
13,23.21,Sailboard,Robin Ball,3,12
14,23.21,Sailboard,Roger Crabb,12,88
15,16.92,Boat,George Chapman,5,28
16,16.25,Boat,Alex Montgomery,17,1
17,14.92,Boat,John Peperell,2,501
18,14.45,Boat,Bob Date,10,458
19,13.91,Boat,Alan Blundell,2,18
20,13.64,Boat,John Peperell,8,13
21,13.24,Boat,Slade Penoyre,11,79
22,10.56,Boat,Evans/Middleton,1,99
23,10.11,Boat,Torix Bennett,2,101
