Sail Number,Finish Time,Speed (kts),Course Length,First Name,Last Name,Craft
1,16:27:00,35.92,536,Nick,Dempsey,Sailboard
1,14:26:00,35.48,536,Nick,Dempsey,Sailboard
1,14:11:00,35.28,536,Nick,Dempsey,Sailboard
1,13:44:00,35.21,536,Nick,Dempsey,Sailboard
1,13:34:00,34.82,536,Nick,Dempsey,Sailboard
1,15:28:00,34.62,536,Nick,Dempsey,Sailboard
1,16:16:00,34.57,536,Nick,Dempsey,Sailboard
1,14:19:00,34.50,536,Nick,Dempsey,Sailboard
1,15:51:00,34.31,536,Nick,Dempsey,Sailboard
1,16:04:00,34.21,536,Nick,Dempsey,Sailboard
1,14:04:00,34.17,536,Nick,Dempsey,Sailboard
1,15:58:00,33.97,536,Nick,Dempsey,Sailboard
1,15:44:00,33.90,536,Nick,Dempsey,Sailboard
1,16:10:00,33.79,536,Nick,Dempsey,Sailboard
1,12:11:00,33.73,536,Nick,Dempsey,Sailboard
1,13:39:00,33.38,536,Nick,Dempsey,Sailboard
1,13:21:00,33.17,536,Nick,Dempsey,Sailboard
1,13:26:00,33.05,536,Nick,Dempsey,Sailboard
1,15:36:00,32.40,536,Nick,Dempsey,Sailboard
1,12:24:00,31.87,536,Nick,Dempsey,Sailboard
1,12:16:00,30.77,536,Nick,Dempsey,Sailboard
1,12:02:00,29.27,536,Nick,Dempsey,Sailboard
1,13:16:00,29.11,536,Nick,Dempsey,Sailboard
1,15:19:00,28.14,536,Nick,Dempsey,Sailboard
1,14:32:00,2.96,536,Nick,Dempsey,Sailboard
4,15:49:00,34.56,536,ian,richards,Sailboard
4,13:59:00,34.04,536,ian,richards,Sailboard
4,13:52:00,33.29,536,ian,richards,Sailboard
4,16:15:00,33.19,536,ian,richards,Sailboard
4,15:44:00,32.92,536,ian,richards,Sailboard
4,14:28:00,32.62,536,ian,richards,Sailboard
4,13:09:00,32.38,536,ian,richards,Sailboard
4,14:09:00,32.08,536,ian,richards,Sailboard
4,13:16:00,29.41,536,ian,richards,Sailboard
4,16:03:00,29.39,536,ian,richards,Sailboard
4,15:56:00,27.78,536,ian,richards,Sailboard
9,15:49:00,35.25,536,guy,cribb,Sailboard
9,15:53:00,35.04,536,guy,cribb,Sailboard
9,16:10:00,34.77,536,guy,cribb,Sailboard
9,15:28:00,34.58,536,guy,cribb,Sailboard
9,16:02:00,34.05,536,guy,cribb,Sailboard
9,16:21:00,33.98,536,guy,cribb,Sailboard
9,16:16:00,33.82,536,guy,cribb,Sailboard
9,15:44:00,33.31,536,guy,cribb,Sailboard
9,16:26:00,33.26,536,guy,cribb,Sailboard
9,15:35:00,32.99,536,guy,cribb,Sailboard
9,15:40:00,32.41,536,guy,cribb,Sailboard
10,16:00:00,38.54,536,Anders,Bringdal,Sailboard
10,13:44:00,37.60,536,Anders,Bringdal,Sailboard
10,15:32:00,37.46,536,Anders,Bringdal,Sailboard
10,14:30:00,37.13,536,Anders,Bringdal,Sailboard
10,16:15:00,36.34,536,Anders,Bringdal,Sailboard
10,12:11:00,36.32,536,Anders,Bringdal,Sailboard
10,16:08:00,36.09,536,Anders,Bringdal,Sailboard
10,16:24:00,35.92,536,Anders,Bringdal,Sailboard
10,15:24:00,35.64,536,Anders,Bringdal,Sailboard
10,14:24:00,35.50,536,Anders,Bringdal,Sailboard
10,13:50:00,35.45,536,Anders,Bringdal,Sailboard
10,15:52:00,33.41,536,Anders,Bringdal,Sailboard
10,11:54:00,33.36,536,Anders,Bringdal,Sailboard
10,11:38:00,33.18,536,Anders,Bringdal,Sailboard
10,12:19:00,31.70,536,Anders,Bringdal,Sailboard
10,15:45:00,28.37,536,Anders,Bringdal,Sailboard
10,16:31:00,2.22,536,Anders,Bringdal,Sailboard
13,14:23:00,29.94,536,Robert,Munn,Sailboard
13,16:06:00,29.69,536,Robert,Munn,Sailboard
13,16:23:00,29.36,536,Robert,Munn,Sailboard
13,15:33:00,28.40,536,Robert,Munn,Sailboard
13,15:15:00,28.17,536,Robert,Munn,Sailboard
13,12:17:00,28.08,536,Robert,Munn,Sailboard
13,12:10:00,27.72,536,Robert,Munn,Sailboard
13,12:01:00,27.19,536,Robert,Munn,Sailboard
13,11:41:00,25.54,536,Robert,Munn,Sailboard
13,12:31:00,25.44,536,Robert,Munn,Sailboard
13,11:48:00,24.48,536,Robert,Munn,Sailboard
14,14:03:00,33.41,536,Ian,Hill,Sailboard
14,14:26:00,33.36,536,Ian,Hill,Sailboard
14,14:18:00,32.74,536,Ian,Hill,Sailboard
14,12:10:00,32.02,536,Ian,Hill,Sailboard
14,11:50:00,30.32,536,Ian,Hill,Sailboard
14,11:59:00,29.41,536,Ian,Hill,Sailboard
14,11:53:00,29.30,536,Ian,Hill,Sailboard
14,12:19:00,28.42,536,Ian,Hill,Sailboard
14,11:44:00,27.95,536,Ian,Hill,Sailboard
14,12:05:00,27.48,536,Ian,Hill,Sailboard
14,12:31:00,27.31,536,Ian,Hill,Sailboard
14,11:38:00,27.08,536,Ian,Hill,Sailboard
14,12:26:00,25.03,536,Ian,Hill,Sailboard
15,13:03:00,29.63,536,Thorsten,Niehaus,Sailboard
15,13:36:00,29.01,536,Thorsten,Niehaus,Sailboard
15,13:19:00,27.28,536,Thorsten,Niehaus,Sailboard
16,11:56:00,28.58,536,Mark,Spreadbury,Sailboard
16,12:16:00,27.95,536,Mark,Spreadbury,Sailboard
16,11:47:00,26.97,536,Mark,Spreadbury,Sailboard
16,11:37:00,26.21,536,Mark,Spreadbury,Sailboard
16,12:25:00,25.70,536,Mark,Spreadbury,Sailboard
16,12:06:00,1.59,536,Mark,Spreadbury,Sailboard
17,13:58:00,33.87,536,Paul,Morris,Sailboard
17,15:27:00,32.49,536,Paul,Morris,Sailboard
17,14:13:00,32.34,536,Paul,Morris,Sailboard
17,15:18:00,32.14,536,Paul,Morris,Sailboard
17,13:40:00,32.00,536,Paul,Morris,Sailboard
17,13:46:00,31.40,536,Paul,Morris,Sailboard
17,14:07:00,30.91,536,Paul,Morris,Sailboard
17,13:22:00,30.85,536,Paul,Morris,Sailboard
17,14:28:00,30.71,536,Paul,Morris,Sailboard
17,12:09:00,30.61,536,Paul,Morris,Sailboard
17,11:51:00,29.62,536,Paul,Morris,Sailboard
17,11:38:00,29.53,536,Paul,Morris,Sailboard
17,12:24:00,29.46,536,Paul,Morris,Sailboard
17,11:57:00,29.04,536,Paul,Morris,Sailboard
17,15:39:00,29.01,536,Paul,Morris,Sailboard
17,12:19:00,28.67,536,Paul,Morris,Sailboard
17,15:43:00,28.35,536,Paul,Morris,Sailboard
21,13:46:00,29.65,536,Dan,Simpson,Sailboard
21,12:27:00,29.58,536,Dan,Simpson,Sailboard
21,14:03:00,29.52,536,Dan,Simpson,Sailboard
21,15:47:00,29.50,536,Dan,Simpson,Sailboard
21,16:23:00,29.49,536,Dan,Simpson,Sailboard
21,13:54:00,29.41,536,Dan,Simpson,Sailboard
21,12:06:00,29.16,536,Dan,Simpson,Sailboard
21,16:13:00,28.40,536,Dan,Simpson,Sailboard
21,13:30:00,28.39,536,Dan,Simpson,Sailboard
21,15:55:00,27.86,536,Dan,Simpson,Sailboard
21,13:37:00,27.74,536,Dan,Simpson,Sailboard
21,12:14:00,27.53,536,Dan,Simpson,Sailboard
21,15:36:00,27.33,536,Dan,Simpson,Sailboard
21,11:59:00,27.17,536,Dan,Simpson,Sailboard
21,11:47:00,26.24,536,Dan,Simpson,Sailboard
22,16:00:00,36.00,536,Pete,Cunningham,Sailboard
22,14:02:00,33.78,536,Pete,Cunningham,Sailboard
22,14:29:00,33.69,536,Pete,Cunningham,Sailboard
22,14:11:00,32.91,536,Pete,Cunningham,Sailboard
22,15:21:00,32.08,536,Pete,Cunningham,Sailboard
22,13:32:00,32.06,536,Pete,Cunningham,Sailboard
22,16:14:00,31.99,536,Pete,Cunningham,Sailboard
22,13:23:00,31.95,536,Pete,Cunningham,Sailboard
22,13:45:00,31.86,536,Pete,Cunningham,Sailboard
22,15:35:00,31.20,536,Pete,Cunningham,Sailboard
22,12:26:00,30.92,536,Pete,Cunningham,Sailboard
22,12:04:00,30.43,536,Pete,Cunningham,Sailboard
22,11:54:00,27.82,536,Pete,Cunningham,Sailboard
22,11:41:00,26.82,536,Pete,Cunningham,Sailboard
22,13:42:00,14.13,536,Pete,Cunningham,Sailboard
23,13:42:00,28.95,536,barry,mason,Sailboard
23,13:16:00,24.07,536,barry,mason,Sailboard
23,11:55:00,22.63,536,barry,mason,Sailboard
27,14:11:00,30.08,536,Trevor Lyn,Whatford,Sailboard
27,16:25:00,29.08,536,Trevor Lyn,Whatford,Sailboard
27,14:04:00,28.86,536,Trevor Lyn,Whatford,Sailboard
27,16:15:00,28.83,536,Trevor Lyn,Whatford,Sailboard
27,15:58:00,28.29,536,Trevor Lyn,Whatford,Sailboard
27,15:31:00,27.78,536,Trevor Lyn,Whatford,Sailboard
27,13:51:00,27.53,536,Trevor Lyn,Whatford,Sailboard
27,15:44:00,26.47,536,Trevor Lyn,Whatford,Sailboard
27,14:19:00,24.02,536,Trevor Lyn,Whatford,Sailboard
34,11:43:00,32.32,536,Liam,Round,Sailboard
34,12:00:00,30.91,536,Liam,Round,Sailboard
34,11:48:00,30.48,536,Liam,Round,Sailboard
34,12:06:00,29.07,536,Liam,Round,Sailboard
34,11:34:00,28.99,536,Liam,Round,Sailboard
34,12:30:00,28.75,536,Liam,Round,Sailboard
34,12:22:00,28.74,536,Liam,Round,Sailboard
34,12:14:00,28.38,536,Liam,Round,Sailboard
34,15:51:00,28.21,536,Liam,Round,Sailboard
34,13:49:00,28.06,536,Liam,Round,Sailboard
34,14:24:00,27.66,536,Liam,Round,Sailboard
34,16:07:00,27.06,536,Liam,Round,Sailboard
34,16:17:00,27.00,536,Liam,Round,Sailboard
34,16:29:00,26.94,536,Liam,Round,Sailboard
34,15:38:00,26.94,536,Liam,Round,Sailboard
34,15:19:00,26.80,536,Liam,Round,Sailboard
34,13:25:00,26.32,536,Liam,Round,Sailboard
36,11:59:00,27.93,536,John,Bull,Sailboard
36,11:28:00,27.74,536,John,Bull,Sailboard
36,11:40:00,20.19,536,John,Bull,Sailboard
36,12:16:00,0.96,536,John,Bull,Sailboard
38,14:20:00,30.82,536,J. R.,Morris,Sailboard
38,13:52:00,28.37,536,J. R.,Morris,Sailboard
38,12:27:00,26.56,536,J. R.,Morris,Sailboard
38,14:08:00,1.08,536,J. R.,Morris,Sailboard
43,13:47:00,30.81,536,Simon,Langley,Sailboard
43,13:37:00,29.74,536,Simon,Langley,Sailboard
43,12:18:00,28.75,536,Simon,Langley,Sailboard
43,12:01:00,28.36,536,Simon,Langley,Sailboard
43,12:27:00,28.05,536,Simon,Langley,Sailboard
43,11:50:00,26.14,536,Simon,Langley,Sailboard
44,14:27:00,30.44,536,Dave,Strudwick,Sailboard
44,15:39:00,29.66,536,Dave,Strudwick,Sailboard
44,13:28:00,28.20,536,Dave,Strudwick,Sailboard
44,12:15:00,27.84,536,Dave,Strudwick,Sailboard
44,13:38:00,27.59,536,Dave,Strudwick,Sailboard
44,13:36:00,2.06,536,Dave,Strudwick,Sailboard
44,13:51:00,1.29,536,Dave,Strudwick,Sailboard
46,14:02:00,31.96,536,Denis,Royet,Sailboard
46,13:53:00,31.66,536,Denis,Royet,Sailboard
46,12:16:00,31.53,536,Denis,Royet,Sailboard
46,14:29:00,31.38,536,Denis,Royet,Sailboard
46,13:38:00,30.50,536,Denis,Royet,Sailboard
46,15:47:00,29.54,536,Denis,Royet,Sailboard
46,11:45:00,29.31,536,Denis,Royet,Sailboard
46,14:18:00,29.20,536,Denis,Royet,Sailboard
46,11:31:00,27.80,536,Denis,Royet,Sailboard
46,12:23:00,23.04,536,Denis,Royet,Sailboard
47,13:53:00,30.83,536,Zara,Davis,Sailboard
47,13:36:00,30.16,536,Zara,Davis,Sailboard
47,14:19:00,30.11,536,Zara,Davis,Sailboard
47,16:31:00,29.77,536,Zara,Davis,Sailboard
47,12:00:00,29.56,536,Zara,Davis,Sailboard
47,11:34:00,28.25,536,Zara,Davis,Sailboard
47,15:40:00,27.74,536,Zara,Davis,Sailboard
47,12:12:00,26.82,536,Zara,Davis,Sailboard
47,11:45:00,26.53,536,Zara,Davis,Sailboard
47,12:30:00,0.90,536,Zara,Davis,Sailboard
56,16:11:00,33.15,536,Tim,Lawes,Sailboard
56,16:01:00,32.73,536,Tim,Lawes,Sailboard
56,15:23:00,32.27,536,Tim,Lawes,Sailboard
56,15:49:00,31.40,536,Tim,Lawes,Sailboard
56,14:20:00,30.24,536,Tim,Lawes,Sailboard
56,15:13:00,29.97,536,Tim,Lawes,Sailboard
