Place,HelmName,Fleet,Status
1,Kevin Greenslade,Men's Sailboard,Pro Fleet
2,Simon Cofield,Men's Sailboard,Pro Fleet
3,Leigh Kingaby,Men's Sailboard,Pro Fleet
4,Simon Pettifer,Men's Sailboard,Gold Fleet
5,Nick Beaney,Men's Sailboard,Pro Fleet
6,Tony Attfield,Men's Sailboard,Gold Fleet
7,Dave White,Men's Sailboard,Pro Fleet
8,Gavin Furmenger,Men's Sailboard,Gold Fleet
9,Paul Sibley,Men's Sailboard,Gold Fleet
10,Jim Crossley,Men's Sailboard,Pro Fleet
11,Mark Ingram,Men's Sailboard,Gold Fleet
12,Garry Connell,Men's Sailboard,Gold Fleet
13,George Fulton,Men's Sailboard,Amateur
14,James Battye,Men's Sailboard,Gold Fleet
15,Dave Strudwick,Men's Sailboard,Gold Fleet
16,Simon Chippington,Men's Sailboard,Gold Fleet
17,Jason Sawyer,Men's Sailboard,Amateur
18,Shaun Cook,Men's Sailboard,Pro Fleet
19,Kacper Wozniak,Men's Sailboard,Gold Fleet
20,Matthew York,Men's Sailboard,Gold Fleet
21,Gavin Nicholson,Men's Sailboard,Gold Fleet
22,Nic Dodd,Men's Sailboard,Gold Fleet
23,Trevor Whatford,Men's Sailboard,Amateur
