Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Simon Cofield,Men's Sailboard,Pro Fleet,29.29,28.82,29.05
2,Jim Crossley,Men's Sailboard,Pro Fleet,29.35,28.14,28.74
3,Kevin Greenslade,Men's Sailboard,Pro Fleet,28.71,28.22,28.47
4,Simon Pettifer,Men's Sailboard,Gold Fleet,28.59,28.01,28.30
5,Leigh Kingaby,Men's Sailboard,Pro Fleet,28.06,27.86,27.96
6,Dave White,Men's Sailboard,Pro Fleet,28.00,27.57,27.78
7,Nick Beaney,Men's Sailboard,Pro Fleet,27.39,26.65,27.02
8,Tony Attfield,Men's Sailboard,Gold Fleet,27.13,26.82,26.98
9,Matthew York,Men's Sailboard,Gold Fleet,26.56,26.11,26.33
10,Garry Connell,Men's Sailboard,Gold Fleet,26.62,25.86,26.24
11,James Battye,Men's Sailboard,Gold Fleet,26.16,25.94,26.05
12,Paul Sibley,Men's Sailboard,Gold Fleet,25.76,25.41,25.58
13,Shaun Cook,Men's Sailboard,Pro Fleet,25.59,25.04,25.32
14,Dave Strudwick,Men's Sailboard,Gold Fleet,25.79,24.77,25.28
15,Mark Ingram,Men's Sailboard,Gold Fleet,26.07,24.36,25.21
16,Kacper Wozniak,Men's Sailboard,Gold Fleet,25.11,24.82,24.96
17,Gavin Furmenger,Men's Sailboard,Gold Fleet,26.85,23.03,24.94
18,George Fulton,Men's Sailboard,Amateur,24.80,24.57,24.69
19,Jason Sawyer,Men's Sailboard,Amateur,24.68,24.22,24.45
20,Simon Chippington,Men's Sailboard,Gold Fleet,24.33,23.86,24.09
21,Nic Dodd,Men's Sailboard,Gold Fleet,24.74,22.18,23.46
22,Gavin Nicholson,Men's Sailboard,Gold Fleet,22.64,22.39,22.52
23,Trevor Whatford,Men's Sailboard,Amateur,21.10,20.96,21.03
