Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Kevin Greenslade,Men's Sailboard,Pro Fleet,30.15,28.99,29.57
2,Simon Cofield,Men's Sailboard,Pro Fleet,29.43,29.25,29.34
3,Leigh Kingaby,Men's Sailboard,Pro Fleet,27.61,27.49,27.55
4,Simon Pettifer,Men's Sailboard,Gold Fleet,27.63,27.11,27.37
5,Nick Beaney,Men's Sailboard,Pro Fleet,27.31,27.14,27.22
6,Tony Attfield,Men's Sailboard,Gold Fleet,27.08,26.66,26.87
7,Dave White,Men's Sailboard,Pro Fleet,25.75,25.19,25.47
8,Gavin Furmenger,Men's Sailboard,Gold Fleet,25.31,25.23,25.27
9,Paul Sibley,Men's Sailboard,Gold Fleet,25.49,24.49,24.99
10,Jim Crossley,Men's Sailboard,Pro Fleet,24.64,24.52,24.58
11,Mark Ingram,Men's Sailboard,Gold Fleet,24.98,24.16,24.57
12,Garry Connell,Men's Sailboard,Gold Fleet,24.98,23.84,24.41
13,George Fulton,Men's Sailboard,Amateur,24.28,24.05,24.17
14,James Battye,Men's Sailboard,Gold Fleet,24.16,24.14,24.15
15,Dave Strudwick,Men's Sailboard,Gold Fleet,24.23,23.75,23.99
16,Simon Chippington,Men's Sailboard,Gold Fleet,23.99,23.80,23.90
17,Jason Sawyer,Men's Sailboard,Amateur,24.11,23.44,23.78
18,Shaun Cook,Men's Sailboard,Pro Fleet,23.87,22.28,23.08
19,Kacper Wozniak,Men's Sailboard,Gold Fleet,23.14,22.16,22.65
20,Matthew York,Men's Sailboard,Gold Fleet,23.01,21.30,22.15
21,Gavin Nicholson,Men's Sailboard,Gold Fleet,22.36,21.66,22.01
22,Nic Dodd,Men's Sailboard,Gold Fleet,22.04,21.70,21.87
23,Trevor Whatford,Men's Sailboard,Amateur,20.86,17.65,19.25
