Place,Helmname,Fleet
1,Simon Cofield,Men's Sailboard
2,Simon Pettifer,Men's Sailboard
3,Kevin Greenslade,Men's Sailboard
4,Scotty Stallman,Men's Sailboard
5,Leigh Kingaby,Men's Sailboard
6,Paul Sibley,Men's Sailboard
7,Garry Connell,Men's Sailboard
8,Adrian Wallis,Men's Sailboard
9,Richard Crosby,Men's Sailboard
10,Kacper Wozniak,Men's Sailboard
11,Peter Crosby,Men's Sailboard
12,James Faley,Men's Sailboard
13,Dave Strudwick,Men's Sailboard
14,Jason Sawyer,Men's Sailboard
15,Nic Dodd,Men's Sailboard
16,Martin Brooks,Men's Sailboard
17,Chris Cleland,Men's Sailboard
18,Gavin Nicholson,Men's Sailboard
19,James Battye,Men's Sailboard
20,Nick Deakin,Men's Sailboard
21,Sam Jones,Men's Sailboard
22,George Fulton,Men's Sailboard
23,Duncan Adam,Men's Sailboard
24,Tim Whealy,Men's Sailboard
25,Andy Stuart-William,Men's Sailboard
