Place,Helmname,Fleet
1,Simon Cofield,Men's Sailboard
2,Scotty Stallman,Men's Sailboard
3,Leigh Kingaby,Men's Sailboard
3,Simon Pettifer,Men's Sailboard
5,Kevin Greenslade,Men's Sailboard
6,Paul Sibley,Men's Sailboard
7,Adrian Wallis,Men's Sailboard
8,Garry Connell,Men's Sailboard
9,George Fulton,Men's Sailboard
10,James Faley,Men's Sailboard
11,Peter Crosby,Men's Sailboard
12,Richard Crosby,Men's Sailboard
13,Kacper Wozniak,Men's Sailboard
14,Jason Sawyer,Men's Sailboard
15,Dave Strudwick,Men's Sailboard
16,Gavin Nicholson,Men's Sailboard
16,Martin Brooks,Men's Sailboard
18,Nic Dodd,Men's Sailboard
19,Andy Stuart-William,Men's Sailboard
20,Sam Jones,Men's Sailboard
21,Chris Cleland,Men's Sailboard
22,Nick Deakin,Men's Sailboard
23,James Battye,Men's Sailboard
24,Duncan Adam,Men's Sailboard
25,Lewis Limm,Men's Sailboard
