Place,Helmname,Fleet
1,Kevin Greenslade,Men's Sailboard
2,Jim Crossley,Men's Sailboard
3,Simon Cofield,Men's Sailboard
4,Nick Beaney,Men's Sailboard
5,Bob Cunningham,Men's Sailboard
6,Nigel Spriggs,Men's Sailboard
7,Antony Baker,Men's Sailboard
8,Jack Trollope,Men's Sailboard
9,Michael George,Men's Sailboard
10,Christian Body,Men's Sailboard
11,Andy Holland,Men's Sailboard
12,Matthew Spooner,Men's Sailboard
13,Adrian Wallis,Men's Sailboard
14,Jamie Walker,Men's Sailboard
15,Garry Connell,Men's Sailboard
16,Tony Attfield,Men's Sailboard
17,Matthew York,Men's Sailboard
18,Allan Cross,Men's Sailboard
19,Mark Ingram,Men's Sailboard
20,Stephen Chatten,Men's Sailboard
21,Gavin Furmenger,Men's Sailboard
22,Bryn Dampney,Men's Sailboard
23,Dave Strudwick,Men's Sailboard
24,Chris Jackson,Men's Sailboard
25,Nic Dodd,Men's Sailboard
26,Trevor Funnell,Men's Sailboard
27,Martin Allman,Men's Sailboard
28,Neil Greentree,Men's Sailboard
