Place,HelmName,Fleet,Status
1,Kevin Greenslade,Men's Sailboard,Pro Fleet
2,Jim Crossley,Men's Sailboard,Gold Fleet
3,Simon Cofield,Men's Sailboard,Gold Fleet
4,Nick Beaney,Men's Sailboard,Pro Fleet
5,Bob Cunningham,Men's Sailboard,Pro Fleet
6,Nigel Spriggs,Men's Sailboard,Gold Fleet
7,Antony Baker,Men's Sailboard,Pro Fleet
8,Jack Trollope,Men's Sailboard,Gold Fleet
9,Michael George,Men's Sailboard,Gold Fleet
10,Christian Body,Men's Sailboard,Gold Fleet
11,Andy Holland,Men's Sailboard,Gold Fleet
12,Matthew Spooner,Men's Sailboard,Amateur
13,Adrian Wallis,Men's Sailboard,Gold Fleet
14,Jamie Walker,Men's Sailboard,Gold Fleet
15,Garry Connell,Men's Sailboard,Amateur
16,Tony Attfield,Men's Sailboard,Gold Fleet
17,Matthew York,Men's Sailboard,Gold Fleet
18,Allan Cross,Men's Sailboard,Pro Fleet
19,Mark Ingram,Men's Sailboard,Gold Fleet
20,Stephen Chatten,Men's Sailboard,Gold Fleet
21,Gavin Furmenger,Men's Sailboard,Amateur
22,Bryn Dampney,Men's Sailboard,Amateur
23,Dave Strudwick,Men's Sailboard,Gold Fleet
24,Chris Jackson,Men's Sailboard,Gold Fleet
25,Nic Dodd,Men's Sailboard,Gold Fleet
26,Trevor Funnell,Men's Sailboard,Amateur
27,Martin Allman,Men's Sailboard,Amateur
28,Neil Greentree,Men's Sailboard,Gold Fleet
