Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,30.01,Sailboard,Bjorn Dunkerbeck,12,114
2,29.76,Kite Board,Cory Roeseler,5,24
3,29.72,Sailboard,David Garrel,15,22
4,28.18,Sailboard,Tony Morris,7,11
5,27.11,Kite Board,Cyril Pimont,1,2
6,26.45,Sailboard,James Paine,26,17
7,26.19,Kite Board,Emmanuel Taub,4,26
8,23.77,Sailboard,Ian Hill,6,14
9,23.38,Sailboard,Roger Crabb,10,88
10,22.70,Sailboard,Pierre Saville,7,38
11,21.81,Sailboard,Graeme Ratten,1,78
12,20.13,Boat,Joddy Chapman,7,141
13,16.50,Boat,Raphael Dinelli,15,277
14,16.42,Boat,Alan Blundell,6,18
15,12.49,Boat,John Peperell,8,510
