Place,HelmName,Fleet,Status
1,Allan Cross,Men's Sailboard,Gold Fleet
2,Matthew York,Men's Sailboard,Gold Fleet
3,Daniel Skudder,Men's Sailboard,Gold Fleet
4,Christian Body,Men's Sailboard,Gold Fleet
5,Jamie Walker,Men's Sailboard,Gold Fleet
6,Tony Attfield,Men's Sailboard,Amateur
7,Nigel Spriggs,Men's Sailboard,Gold Fleet
8,Adrian Wallis,Men's Sailboard,Gold Fleet
9,Michael George,Men's Sailboard,Gold Fleet
10,Mark Collins,Men's Sailboard,Amateur
11,Dave Strudwick,Men's Sailboard,Gold Fleet
12,Antony Baker,Men's Sailboard,Pro Fleet
13,John McIntyre,Men's Sailboard,Amateur
14,Stephen Chatten,Men's Sailboard,Gold Fleet
15,Gavin Nicholson,Men's Sailboard,Gold Fleet
16,Nic Dodd,Men's Sailboard,Gold Fleet
17,Martin Allman,Men's Sailboard,Amateur
18,Neil Greentree,Men's Sailboard,Amateur
19,Gordon Roach,Men's Sailboard,Amateur
