Place,Helmname,Fleet
1,Allan Cross,Men's Sailboard
2,Matthew York,Men's Sailboard
3,Daniel Skudder,Men's Sailboard
4,Christian Body,Men's Sailboard
5,Jamie Walker,Men's Sailboard
6,Tony Attfield,Men's Sailboard
7,Nigel Spriggs,Men's Sailboard
8,Adrian Wallis,Men's Sailboard
9,Michael George,Men's Sailboard
10,Mark Collins,Men's Sailboard
11,Dave Strudwick,Men's Sailboard
12,Antony Baker,Men's Sailboard
13,John McIntyre,Men's Sailboard
14,Stephen Chatten,Men's Sailboard
15,Gavin Nicholson,Men's Sailboard
16,Nic Dodd,Men's Sailboard
17,Martin Allman,Men's Sailboard
18,Neil Greentree,Men's Sailboard
19,Gordon Roach,Men's Sailboard
