Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,27.88,Sailboard,Bjorn Dunkerbeck,6,114
2,26.15,Sailboard,Pete Martin,13,181
3,24.93,Sailboard,Paul Simmons,5,110
4,24.45,Sailboard,Alan Cross,7,68
5,24.42,Sailboard,Björn Haacke,17,4
6,24.22,Sailboard,Ian Hill,10,14
7,24.12,Sailboard,Peter Davis,3,73
8,23.89,Sailboard,Tony Morris,1,11
9,23.18,Sailboard,Peter Williams,1,74
10,23.02,Sailboard,Nigel Spriggs,11,118
11,22.67,Sailboard,Mike Pearce,4,9
12,22.27,Sailboard,Dion Hunt,5,71
13,21.86,Sailboard,Declan Hicks,11,54
14,21.16,Sailboard,John Sanderson,3,180
15,21.13,Sailboard,Zara Davis,1,173
16,20.52,Sailboard,Barry Mason,7,23
17,20.03,Sailboard,Simon Hinckley,1,40
18,19.54,Sailboard,Amy Carter,2,85
19,18.72,Sailboard,Trevor Whatford,3,27
20,17.83,Sailboard,Eddie Murrell,2,670
