Place,Helmname,Fleet,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Daniel Borgelind,,31.19,31.05,31.12
2,Anders Bjorkqvist,,31.14,31.03,31.08
3,David Garrel,,30.99,30.38,30.69
4,Martyn Ogier,,30.41,30.11,30.26
5,Torsten Mallon,,29.45,28.80,29.12
