Place,HelmName,Fleet,Status
1,Daniel Borgelind,Men,Gold Fleet
2,Anders Bjorkqvist,Men,Gold Fleet
3,David Garrel,Men,Pro Fleet
4,Martyn Ogier,Men,Pro Fleet
5,Torsten Mallon,Men,Pro Fleet
