Place,HelmName,Fleet,Status
1,Antony Baker,Men's Sailboard,Pro Fleet
2,Nigel Spriggs,Men's Sailboard,Gold Fleet
3,Martyn Ogier,Men's Sailboard,Pro Fleet
4,Matthew York,Men's Sailboard,Gold Fleet
5,Paul Morris,Men's Sailboard,Gold Fleet
6,Jamie Walker,Men's Sailboard,Gold Fleet
7,Stephen Chatten,Men's Sailboard,Amateur
8,Nic Dodd,Men's Sailboard,Gold Fleet
9,Tom Wade,Men's Sailboard,Amateur
10,Gavin Nicholson,Men's Sailboard,Gold Fleet
11,Trevor Whatford,Men's Sailboard,Amateur
12,Gordon Roach,Men's Sailboard,Amateur
13,Martin Allman,Men's Sailboard,Amateur
