Place,Helmname,Fleet
1,Simon Cofield,Men's Sailboard
2,Kevin Greenslade,Men's Sailboard
3,Jim Crossley,Men's Sailboard
4,Andy Holland,Men's Sailboard
5,Nigel Spriggs,Men's Sailboard
6,Matthew York,Men's Sailboard
7,Matthew Spooner,Men's Sailboard
8,Gavin Furmenger,Men's Sailboard
9,Chris Jackson,Men's Sailboard
10,Jamie Bambridge,Men's Sailboard
