Place,HelmName,Fleet,Status
1,Henry Bloodworth,Open Sailboard,Pro Fleet
2,Simon Pettifer,Open Sailboard,Pro Fleet
3,Michael George,Open Sailboard,Pro Fleet
4,Sam Latham,Open Sailboard,Pro Fleet
5,Jenna Gibson,Open Sailboard,Pro Fleet
6,Jim Crossley,Open Sailboard,Pro Fleet
7,Garry Connell,Open Sailboard,Pro Fleet
8,Will Trossell,Open Sailboard,Pro Fleet
9,Ben Robbins,Open Sailboard,Gold Fleet
10,Tim Bate,Open Sailboard,Gold Fleet
11,Iain Neary,Open Sailboard,Amateur
12,Simon Barker,Open Sailboard,Amateur
13,Russell Thompson,Open Sailboard,Amateur
14,Scott Harrison,Open Sailboard,Gold Fleet
