Place,Helmname,Fleet
1,Kevin Greenslade,Men's Sailboard
2,Simon Cofield,Men's Sailboard
3,Nick Beaney,Men's Sailboard
4,Scotty Stallman,Men's Sailboard
5,Simon Pettifer,Men's Sailboard
6,Leigh Kingaby,Men's Sailboard
7,James Battye,Men's Sailboard
8,Gavin Furmenger,Men's Sailboard
9,George Fulton,Men's Sailboard
10,Kacper Wozniak,Men's Sailboard
11,Adrian Wallis,Men's Sailboard
12,Jim Crossley,Men's Sailboard
13,Grant Cottrell,Men's Sailboard
14,Garry Connell,Men's Sailboard
15,Matthew York,Men's Sailboard
16,Ewan Paterson,Men's Sailboard
17,Trevor Whatford,Men's Sailboard
