Place,HelmName,Fleet,Status
1,Kevin Greenslade,Men's Sailboard,Pro Fleet
2,Simon Cofield,Men's Sailboard,Pro Fleet
3,Nick Beaney,Men's Sailboard,Pro Fleet
4,Scotty Stallman,Men's Sailboard,Gold Fleet
5,Simon Pettifer,Men's Sailboard,Pro Fleet
6,Leigh Kingaby,Men's Sailboard,Pro Fleet
7,James Battye,Men's Sailboard,Gold Fleet
8,Gavin Furmenger,Men's Sailboard,Gold Fleet
9,George Fulton,Men's Sailboard,Amateur
10,Kacper Wozniak,Men's Sailboard,Gold Fleet
11,Adrian Wallis,Men's Sailboard,Gold Fleet
12,Jim Crossley,Men's Sailboard,Pro Fleet
13,Grant Cottrell,Men's Sailboard,Gold Fleet
14,Garry Connell,Men's Sailboard,Gold Fleet
15,Matthew York,Men's Sailboard,Gold Fleet
16,Ewan Paterson,Men's Sailboard,Amateur
17,Trevor Whatford,Men's Sailboard,Amateur
