Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,13.42,Boat,Joddy Chapman,9,141
2,8.68,Boat,Bob Date,15,458
3,8.16,Boat,Fred Ball,17,10
4,7.24,Boat,Slade Penoyre,2,66
5,6.88,Boat,Philip Middleton,8,99
6,6.08,Sailboard,Trevor Whatford,10,27
7,5.22,Sailboard,Richard Holgate,7,53
8,4.57,Sailboard,Pete Martin,1,181
9,4.43,Sailboard,Mike Pearce,1,9
