Place,HelmName,Fleet,Age,Tally
1,Henry Bloodworth,Overall Windfoil,Adult,104
2,Scotty Stallman,Overall Windfoil,Adult,89
3,Garry Connell,Overall Windfoil,Adult,19
4,Michael George,Overall Windfoil,Adult,1
5,Mark Salvage,Overall Windfoil,Adult,80
