Place,HelmName,Fleet,Age,Tally
1,Henry Bloodworth,Overall Windfoil,Adult,104
2,Garry Connell,Overall Windfoil,Adult,19
3,Michael George,Overall Windfoil,Adult,1
4,Mark Salvage,Overall Windfoil,Adult,80
