Position,Sail Number,Time,Title,First Name,Last Name,Craft Type,Speed (kts)
1,521,12:26:48,Mr,dan,ellis,Sailboard,23.86
2,625,11:13:23,Mr,Jason,McCaffrey,Kite Board,23.04
3,10,12:32:31,Mr,Anders,Bringdal,Sailboard,22.05
4,44,11:17:20,Mr,Dave,Strudwick,Sailboard,21.98
5,69,11:15:52,Mr,Gareth,Baker,Sailboard,21.58
6,52,12:35:19,Mr,Patrick,Van Hoof,Sailboard,21.43
7,157,12:38:34,Mr,nigel,spriggs,Sailboard,20.85
8,358,11:16:20,Mr,Gerard,Northwood,Sailboard,20.68
9,23,11:15:32,Mr,barry,mason,Sailboard,20.44
10,140,12:01:17,Mr,Steve,Jones,Sailboard,20.29
11,203,12:34:59,Mr,Dave,Standing,Sailboard,20.20
12,210,11:18:23,Mr,Gavin,Nicholson,Sailboard,20.16
13,888,12:33:48,Mr,Michael,George,Sailboard,20.14
14,175,12:02:32,Mr,Robin,Penna,Sailboard,20.11
15,62,11:19:31,Mr,Dave,Crowhurst,Sailboard,20.10
16,292,11:14:07,Mr,Nic,Dodd,Sailboard,19.95
17,138,12:39:26,Mr,Nigel,Leeming,Boat,19.07
18,3,12:36:03,Mr,John,McIntyre,Sailboard,19.02
19,863,12:03:50,Mr,Duncan,Adam,Sailboard,18.68
20,95,12:03:35,Mr,Stephen,Cronshaw,Sailboard,18.25
21,30,12:34:57,Mr,alan,bennett,Sailboard,18.03
22,630,12:39:56,Mr,,Gifford,Boat,15.44
23,598,12:01:48,Mr,Michael,Roberts,Sailboard,13.17
24,559,12:32:56,Mr,Tim,Frampton,Sailboard,8.88
25,329,11:31:58,Mr,Mark,Collins,Sailboard,8.16
26,161,12:31:10,Miss,Martina,Zuhlke,Sailboard,7.09
27,17,12:02:37,Mr,Fred,Ball,Boat,6.60
28,420,12:29:18,Mr,Chris,Etchells,Sailboard,6.51
29,55,12:33:30,Mr,James,Lawton,Sailboard,6.13
30,116,12:36:09,Mr,Michael,Barton,Boat,6.04
