Place,HelmName,Fleet,Status
1,Antony Baker,Men,Pro Fleet
2,Patrick Van Hoof,Men,Gold Fleet
3,Markus Wilms,Men,Gold Fleet
4,Michael George,Men,Gold Fleet
5,Nigel Spriggs,Men,Gold Fleet
6,Ian Richards,Men,Gold Fleet
7,Adrian Wallis,Men,Gold Fleet
8,Steve Flanagan,Men,Gold Fleet
9,Paul Simmons,Men,Pro Fleet
10,Steve Jones,Men,Gold Fleet
11,Torsten Mallon,Men,Gold Fleet
12,Allan Cross,Men,Gold Fleet
13,Dave Strudwick,Men,Gold Fleet
14,Andrew Chandler,Men,Gold Fleet
15,Gavin Nicholson,Men,Amateur
16,Stephen Chatten,Men,Amateur
17,Christian Body,Men,Youth Fleet
18,Ryan Dunkling,Men,Youth Fleet
19,Fred Willis,Men,Pro Fleet
20,Nic Dodd,Men,Gold Fleet
21,Mark Collins,Men,Gold Fleet
22,Henry Bloodworth,Men,Youth Fleet
23,Martin Allman,Men,Amateur
