Place,HelmName,Fleet,Status
1,Scotty Stallman,Men's Sailboard,Pro Fleet
2,Simon Pettifer,Men's Sailboard,Pro Fleet
3,Nigel Spriggs,Men's Sailboard,Pro Fleet
4,Garry Connell,Men's Sailboard,Pro Fleet
5,Will Trossell,Men's Sailboard,Gold Fleet
6,Michael George,Men's Sailboard,Pro Fleet
7,John Oliver,Men's Sailboard,Gold Fleet
8,George Fulton,Men's Sailboard,Gold Fleet
9,Simon Chippington,Men's Sailboard,Gold Fleet
10,Richard Crosby,Men's Sailboard,Gold Fleet
11,Maciej Bukolt,Men's Sailboard,Amateur
12,Scott Norman,Men's Sailboard,Amateur
13,Iain Neary,Men's Sailboard,Amateur
14,Stuart Trunkfield,Men's Sailboard,Gold Fleet
15,Mark Palmer,Men's Sailboard,Gold Fleet
16,Andrew Twinn,Men's Sailboard,Gold Fleet
17,Dave Strudwick,Men's Sailboard,Gold Fleet
18,Stewart Veitch,Men's Sailboard,Amateur
19,Trevor Whatford,Men's Sailboard,Gold Fleet
20,Garry Goodwin,Men's Sailboard,Amateur
21,Andy Stuart-William,Men's Sailboard,Gold Fleet
22,Joe Trunkfield,Men's Sailboard,Amateur
