Place,Helmname,Fleet
1,Iain Neary,Men's Sailboard
2,Stuart Trunkfield,Men's Sailboard
3,Maciej Bukolt,Men's Sailboard
4,Tim Laine,Men's Sailboard
5,Andy Stuart-William,Men's Sailboard
