Place,Helmname,Fleet
1,Michael George,Men's Wingboard
2,Richard Hobson,Men's Wingboard
3,Stacey Vass,Men's Wingboard
4,Ian Kraft,Men's Wingboard
5,Simon Chippington,Men's Wingboard
