Place,HelmName,Fleet,Status
1,Jim Crossley,Men's Sailboard,Gold Fleet
2,Kevin Greenslade,Men's Sailboard,Pro Fleet
3,Keith Atkinson,Men's Sailboard,Pro Fleet
4,Simon Pettifer,Men's Sailboard,Gold Fleet
5,Paul Morris,Men's Sailboard,Gold Fleet
6,Adrian Wallis,Men's Sailboard,Gold Fleet
6,Dave Strudwick,Men's Sailboard,Gold Fleet
8,Jamie Walker,Men's Sailboard,Gold Fleet
9,Allan Cross,Men's Sailboard,Pro Fleet
10,Matthew Spooner,Men's Sailboard,Gold Fleet
11,Garry Connell,Men's Sailboard,Gold Fleet
12,Scotty Stallman,Men's Sailboard,Youth Fleet
13,Gavin Nicholson,Men's Sailboard,Gold Fleet
14,Denis Royet,Men's Sailboard,Pro Fleet
15,Mark Matthews,Men's Sailboard,Amateur
16,Thomas Eskdale,Men's Sailboard,Gold Fleet
17,Nic Dodd,Men's Sailboard,Gold Fleet
18,Duncan Adam,Men's Sailboard,Amateur
19,Sam Anstey,Men's Sailboard,Youth Fleet
20,Trevor Whatford,Men's Sailboard,Amateur
21,Ben Easton,Men's Sailboard,Gold Fleet
