Sail Number,Craft Type,Name,Speed (kts),Runs
47,Sailboard,Stacey Vass,21.566,8
9,Sailboard,Mike Pearce,16.941,4
111,Sailboard,Nick Povey,16.857,4
458,Boat,Robert Date,14.075,7
1,Boat,Jon Montgomery,12.600,11
27,Sailboard,Trevor Whatford,12.073,6
46,Boat,European Hydrosail Systems,9.754,6
30,Boat,Hywel Price,7.606,12
444,Boat,Brian Storm,6.896,5
101,Boat,Torix Bennett,6.582,2
31,Sailboard,Angus Hitchin,6.212,1
2,Sailboard,Robin Ball,5.353,2
181,Sailboard,Peter Martin,5.035,2
