Sail Number,Name,Speed (kts),Runs
47,Stacey Vass,28.770,17
711,S Meech,28.680,17
11,Tony Morris,26.558,28
9,Mike Pearce,25.274,13
905,Steve Cole,25.205,8
101,Torix Bennett,22.619,10
27,T L Watford,21.454,2
171,Sean Carroll,21.244,3
333,Phil Hayward,20.787,2
18,Alan Blundell,18.634,12
639,Bob Spagnoletti,18.298,3
30,Keith Dunstan,16.066,7
1,John Montgomery,15.756,3
458,Bob Date,14.580,3
998,Neils Haarbosch,12.814,1
10,Fred Ball,9.972,7
13,John Peperell,9.350,4
3,Jean Yves Salaun,5.236,3
98,Neils Haarbosch,3.403,1
