Date,Time,Sail Number,Speed (kts),Start Wind Speed,Finish Wind Speed,Ratio
2004-10-03,11:48:47,101,3.46,8.00,7.00,0.46
2004-10-03,11:56:29,510,11.14,10.00,25.00,0.64
2004-10-03,12:05:31,1,25.35,10.00,13.00,2.20
2004-10-03,12:07:04,71,21.53,14.00,14.00,1.54
2004-10-03,12:09:11,101,9.42,16.00,22.00,0.50
2004-10-03,12:09:59,1,25.00,15.00,16.00,1.61
2004-10-03,12:12:30,71,22.94,18.00,17.00,1.31
2004-10-03,12:14:08,26,22.40,22.00,15.00,1.21
2004-10-03,12:18:12,93,23.61,19.00,20.00,1.21
2004-10-03,12:18:55,57,25.10,27.00,22.00,1.02
2004-10-03,12:19:44,75,29.64,26.00,18.00,1.35
2004-10-03,12:20:48,9,27.58,22.00,10.00,1.72
2004-10-03,12:23:06,75,30.50,25.00,17.00,1.45
2004-10-03,12:24:09,15,30.50,20.00,14.00,1.79
2004-10-03,12:25:39,777,27.25,16.00,23.00,1.40
2004-10-03,12:26:07,171,27.20,23.00,26.00,1.11
2004-10-03,12:26:13,101,8.20,18.00,16.00,0.48
2004-10-03,12:26:16,7,28.92,26.00,31.00,1.01
2004-10-03,12:27:01,454,26.80,20.00,25.00,1.19
2004-10-03,12:27:16,4,30.40,20.00,26.00,1.32
2004-10-03,12:28:56,75,29.94,17.00,22.00,1.54
2004-10-03,12:29:12,15,29.94,23.00,25.00,1.25
2004-10-03,12:30:12,40,27.93,19.00,24.00,1.30
2004-10-03,12:32:21,7,30.87,17.00,21.00,1.62
2004-10-03,12:34:18,88,20.43,18.00,12.00,1.36
2004-10-03,12:35:38,777,28.15,25.00,21.00,1.22
2004-10-03,12:36:27,51,25.94,20.00,26.00,1.13
2004-10-03,12:36:50,63,28.01,19.00,19.00,1.47
2004-10-03,12:37:25,4,30.14,17.00,25.00,1.44
2004-10-03,12:38:18,15,32.44,22.00,15.00,1.75
2004-10-03,12:39:12,454,26.40,16.00,19.00,1.51
2004-10-03,12:39:24,7,31.19,25.00,21.00,1.36
2004-10-03,12:40:42,181,28.64,16.00,21.00,1.55
2004-10-03,12:41:52,43,26.60,23.00,20.00,1.24
2004-10-03,12:42:45,15,31.63,18.00,17.00,1.81
2004-10-03,12:43:07,101,14.11,26.00,26.00,0.54
2004-10-03,12:44:10,14,30.45,20.00,22.00,1.45
2004-10-03,12:48:04,15,29.94,24.00,17.00,1.46
2004-10-03,12:49:13,63,28.78,23.00,18.00,1.40
2004-10-03,12:49:59,75,30.81,26.00,16.00,1.47
2004-10-03,12:51:23,454,27.00,17.00,14.00,1.74
2004-10-03,12:51:40,14,29.64,17.00,14.00,1.91
2004-10-03,12:52:33,15,31.30,18.00,23.00,1.53
2004-10-03,12:52:58,42,26.64,18.00,24.00,1.27
2004-10-03,12:53:32,610,32.92,21.00,22.00,1.53
2004-10-03,12:53:56,40,30.81,14.00,14.00,2.20
2004-10-03,12:54:45,180,31.81,17.00,18.00,1.82
2004-10-03,12:55:24,171,27.97,22.00,26.00,1.17
2004-10-03,12:56:18,777,26.64,24.00,17.00,1.30
2004-10-03,12:56:39,15,28.06,21.00,22.00,1.31
2004-10-03,12:57:36,7,30.81,21.00,24.00,1.37
2004-10-03,12:57:53,73,27.75,19.00,14.00,1.68
2004-10-03,12:59:06,14,28.42,18.00,14.00,1.78
2004-10-03,13:00:03,101,12.60,15.00,14.00,0.87
2004-10-03,13:00:43,1,30.14,12.00,19.00,1.94
2004-10-03,13:01:13,9,23.93,22.00,23.00,1.06
2004-10-03,13:01:21,43,28.06,18.00,19.00,1.52
2004-10-03,13:02:22,15,28.15,12.00,16.00,2.01
2004-10-03,13:02:43,73,28.37,14.00,20.00,1.67
2004-10-03,13:03:44,74,27.04,19.00,20.00,1.39
2004-10-03,13:03:57,7,29.79,22.00,22.00,1.35
2004-10-03,13:04:07,40,29.89,22.00,21.00,1.39
2004-10-03,13:04:40,88,24.49,18.00,22.00,1.22
2004-10-03,13:04:50,75,29.84,19.00,25.00,1.36
2004-10-03,13:05:06,181,28.15,17.00,14.00,1.82
2004-10-03,13:05:18,63,28.46,23.00,17.00,1.42
2004-10-03,13:05:35,610,31.08,14.00,17.00,2.01
2004-10-03,13:05:50,594,26.17,22.00,14.00,1.45
2004-10-03,13:06:00,9,25.53,14.00,18.00,1.60
2004-10-03,13:06:15,14,29.35,16.00,18.00,1.73
2004-10-03,13:07:34,15,30.40,22.00,23.00,1.35
2004-10-03,13:08:52,1,28.15,12.00,20.00,1.76
2004-10-03,13:09:52,73,27.88,20.00,21.00,1.36
2004-10-03,13:10:09,605,31.30,17.00,21.00,1.65
2004-10-03,13:10:50,68,28.15,20.00,19.00,1.44
2004-10-03,13:11:26,622,20.66,13.00,14.00,1.53
2004-10-03,13:11:31,71,26.05,19.00,16.00,1.49
2004-10-03,13:12:35,19,24.45,16.00,20.00,1.36
2004-10-03,13:12:45,88,25.00,17.00,24.00,1.22
2004-10-03,13:13:09,42,25.21,20.00,20.00,1.26
2004-10-03,13:14:44,74,2.74,19.00,15.00,0.16
2004-10-03,13:14:49,605,29.49,22.00,20.00,1.40
2004-10-03,13:15:56,181,29.21,11.00,18.00,2.01
2004-10-03,13:16:07,7,27.25,12.00,16.00,1.95
2004-10-03,13:17:05,15,31.41,14.00,18.00,1.96
2004-10-03,13:17:51,171,28.46,19.00,23.00,1.36
2004-10-03,13:18:05,75,29.54,14.00,20.00,1.74
2004-10-03,13:18:28,594,29.06,18.00,19.00,1.57
2004-10-03,13:18:59,68,26.80,21.00,17.00,1.41
2004-10-03,13:19:08,56,27.88,20.00,17.00,1.51
2004-10-03,13:19:24,73,27.93,20.00,13.00,1.69
2004-10-03,13:19:59,631,22.37,18.00,23.00,1.09
2004-10-03,13:20:06,19,26.96,23.00,20.00,1.25
2004-10-03,13:20:22,605,32.85,17.00,19.00,1.83
2004-10-03,13:20:34,67,30.24,17.00,15.00,1.89
2004-10-03,13:21:27,603,17.06,17.00,20.00,0.92
2004-10-03,13:21:42,15,29.35,21.00,16.00,1.59
2004-10-03,13:21:57,43,26.68,22.00,20.00,1.27
2004-10-03,13:22:57,40,26.60,25.00,15.00,1.33
2004-10-03,13:23:01,295,27.50,19.00,24.00,1.28
2004-10-03,13:23:41,68,27.62,23.00,18.00,1.35
2004-10-03,13:23:47,75,28.92,21.00,19.00,1.45
2004-10-03,13:24:08,4,27.75,18.00,20.00,1.46
2004-10-03,13:25:35,19,28.24,18.00,18.00,1.57
2004-10-03,13:26:01,631,28.19,23.00,14.00,1.52
2004-10-03,13:26:39,605,31.14,15.00,19.00,1.83
2004-10-03,13:27:05,36,24.15,12.00,14.00,1.86
