Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Antony Baker,Men's Sailboard,Pro Fleet,31.22,29.61,30.42
2,Kevin Greenslade,Men's Sailboard,Gold Fleet,31.05,29.52,30.28
3,Martyn Ogier,Men's Sailboard,Pro Fleet,28.54,28.46,28.50
4,Adrian Wallis,Men's Sailboard,Gold Fleet,27.82,27.63,27.73
5,Nigel Spriggs,Men's Sailboard,Gold Fleet,29.18,26.09,27.63
6,Dave Strudwick,Men's Sailboard,Gold Fleet,28.69,26.09,27.39
7,Michael George,Men's Sailboard,Gold Fleet,28.29,26.17,27.23
8,Allan Cross,Men's Sailboard,Gold Fleet,26.49,26.42,26.46
9,Daniel Skudder,Men's Sailboard,Gold Fleet,26.58,26.12,26.35
10,Tony Attfield,Men's Sailboard,Amateur,27.66,24.87,26.26
11,Jamie Walker,Men's Sailboard,Gold Fleet,27.26,25.06,26.16
12,Gordon Roach,Men's Sailboard,Amateur,26.15,24.40,25.27
13,Stephen Chatten,Men's Sailboard,Gold Fleet,25.29,25.19,25.24
14,Nic Dodd,Men's Sailboard,Gold Fleet,24.20,23.23,23.71
15,Mark Collins,Men's Sailboard,Amateur,23.41,22.82,23.11
16,Martin Allman,Men's Sailboard,Amateur,23.67,22.45,23.06
17,Neil Greentree,Men's Sailboard,Amateur,23.89,21.40,22.65
18,Gavin Nicholson,Men's Sailboard,Gold Fleet,22.35,21.00,21.67
