Name,Sail Number,Craft Type,Speed (kts)
Dan Ellis,52,Sailboard,23.19
David Garrel,22,Sailboard,22.69
Pete Martin,181,Sailboard,22.37
Ian Hill,14,Sailboard,21.95
Allan Cross,68,Sailboard,21.77
Paul Morris,111,Sailboard,21.24
Tristan Drane,7,Sailboard,21.23
Nick Scott,55,Sailboard,21.14
Simon Olley,953,Sailboard,21.02
Tony Ireland,480,Sailboard,21.00
Ian Ruby,313,Sailboard,20.86
Carl Miller,96,Sailboard,20.48
Rob Stack,777,Sailboard,20.47
Paul Simmons,131,Sailboard,20.07
Robin Penna,75,Sailboard,20.03
John Sanderson,180,Sailboard,20.01
Gareth Baker,69,Sailboard,19.69
Ludo Brockway,616,Kite Board,19.39
Mike Pearce,9,Sailboard,19.30
Amy Carter,85,Sailboard,19.05
Mark Minter,100,Sailboard,18.96
Pete Davis,73,Sailboard,18.83
James Paine,17,Sailboard,18.81
Mike Coombes,332,Sailboard,18.75
Nigel Spriggs,118,Sailboard,18.64
Simon Moore,751,Sailboard,18.62
Tony Morris,604,Sailboard,18.54
Dion Hunt,71,Sailboard,18.51
Clive Ellis,51,Sailboard,18.48
Barry Mason,23,Sailboard,18.39
Richard Holgate,53,Sailboard,18.36
Duncan Adam,863,Sailboard,18.14
Trevor Watford,27,Sailboard,17.97
Zara Davis,731,Sailboard,17.90
Charles Wilson,143,Sailboard,17.82
David Goodrich,197,Sailboard,17.70
Mathew Spooner,150,Sailboard,17.67
Martin Allman,206,Sailboard,17.44
Les Paley,8,Sailboard,17.06
Simon Gregory,82,Sailboard,16.99
John Morrish,80,Sailboard,16.91
Michael Pacey,622,Kite Board,16.53
Ian Grounds,276,Sailboard,16.49
Joddy Chapman,141,Boat,16.45
Andrew Penhaligon,119,Sailboard,16.04
Pierre Saville,38,Sailboard,15.94
Alistair Williams,330,Sailboard,15.71
David Williams,612,Kite Board,15.51
David Tuttlebee,888,Sailboard,14.79
Brian Leake,26,Sailboard,13.41
Simon Maguire,86,Boat,12.84
Stephen Walker,84,Boat,11.86
Bob Date,458,Boat,11.53
Emile Burnaby Lautier,108,Boat,10.90
Thor Gustaffson,211,Sailboard,10.89
Claude Van Martyn,555,Sailboard,10.87
Alex Montgomery,1,Sailboard,7.07
Alan Blundell,18,Boat,6.55
Sean Carroll,171,Sailboard,4.88
Tony Attfield,46,Sailboard,4.35
