Place,HelmName,Fleet,Status
1,Kevin Greenslade,Men's Sailboard,Pro Fleet
2,Sam Latham,Men's Sailboard,Pro Fleet
3,Keith Atkinson,Men's Sailboard,Pro Fleet
4,Paul Morris,Men's Sailboard,Gold Fleet
5,Jamie Walker,Men's Sailboard,Gold Fleet
6,Garry Connell,Men's Sailboard,Gold Fleet
7,Matthew York,Men's Sailboard,Gold Fleet
8,Dave Strudwick,Men's Sailboard,Gold Fleet
9,Jim Crossley,Men's Sailboard,Gold Fleet
10,Duncan Adam,Men's Sailboard,Amateur
11,Allan Cross,Men's Sailboard,Pro Fleet
12,Adrian Wallis,Men's Sailboard,Gold Fleet
13,Peter Crosby,Men's Sailboard,Amateur
14,Thomas Eskdale,Men's Sailboard,Gold Fleet
15,Matthew Spooner,Men's Sailboard,Gold Fleet
16,James Battye,Men's Sailboard,Amateur
17,Nic Dodd,Men's Sailboard,Gold Fleet
18,Mark Salvage,Men's Sailboard,Amateur
19,Simon Pettifer,Men's Sailboard,Gold Fleet
20,Richard Crosby,Men's Sailboard,Amateur
21,Gavin Nicholson,Men's Sailboard,Gold Fleet
22,Ginge Ashmore,Men's Sailboard,Amateur
23,Tom Joyce,Men's Sailboard,Gold Fleet
24,Stephen Sugden,Men's Sailboard,Gold Fleet
