Place,Helmname,Fleet
1,Kevin Greenslade,Men's Sailboard
2,Sam Latham,Men's Sailboard
3,Keith Atkinson,Men's Sailboard
4,Paul Morris,Men's Sailboard
5,Jamie Walker,Men's Sailboard
6,Garry Connell,Men's Sailboard
7,Matthew York,Men's Sailboard
8,Dave Strudwick,Men's Sailboard
9,Jim Crossley,Men's Sailboard
10,Duncan Adam,Men's Sailboard
11,Allan Cross,Men's Sailboard
12,Adrian Wallis,Men's Sailboard
13,Peter Crosby,Men's Sailboard
14,Thomas Eskdale,Men's Sailboard
15,Matthew Spooner,Men's Sailboard
16,James Battye,Men's Sailboard
17,Nic Dodd,Men's Sailboard
18,Mark Salvage,Men's Sailboard
19,Simon Pettifer,Men's Sailboard
20,Richard Crosby,Men's Sailboard
21,Gavin Nicholson,Men's Sailboard
22,Ginge Ashmore,Men's Sailboard
23,Tom Joyce,Men's Sailboard
24,Stephen Sugden,Men's Sailboard
