Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,32.73,Sailboard,Bjorn Dunkerbeck,15,114
2,31.91,Sailboard,David Garrel,17,22
3,28.89,Sailboard,Richard Jones,10,213
4,28.23,Sailboard,Tristan Drane,9,77
5,27.04,Kite Board,Cory Roeseler,2,24
6,26.37,Sailboard,Richard Holgate,1,53
7,25.60,Sailboard,Tony Morris,4,11
8,25.21,Sailboard,Alex Montgomery,6,1
9,24.96,Sailboard,Richard Trubger,9,124
10,24.94,Sailboard,David Goodrich,1,197
11,24.41,Sailboard,Dion Hunt,3,71
12,24.41,Kite Board,Cyril Pimont,2,2
13,23.80,Sailboard,Danny Norris,2,43
14,23.41,Sailboard,Trevor Whatford,8,27
15,21.39,Sailboard,Graeme Ratten,3,78
16,20.71,Sailboard,Jeremy Walwin,3,20
17,15.17,Sailboard,Les Paley,2,8
18,14.85,Boat,Torix Bennett,8,121
