Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,23.08,Sailboard,Pete Martin,14,181
2,20.81,Sailboard,Richard Holgate,7,53
3,20.25,Sailboard,Mike Pearce,12,9
4,19.57,Sailboard,Trevor Whatford,13,27
5,19.53,Boat,Joddy Chapman,6,141
6,19.08,Sailboard,Sean Carroll,2,171
7,18.78,Sailboard,Les Paley,5,8
8,14.99,Boat,,2,75
9,14.78,Boat,Philip Middleton,25,99
10,14.58,Boat,Richard Jones,5,96
11,14.05,Boat,Bob Date,21,458
12,13.55,Boat,John Peperell,12,508
13,13.5,Sailboard,Roger Crabb,1,88
14,10.4,Sailboard,Richard Trubger,1,124
15,7.94,Boat,Slade Penoyre,4,66
16,2.83,Boat,Richard Pemberton,1,777
